119.5121 22.5509  CK01
119.5121 22.6856  CK02
119.5121 22.8203  CK03
119.5121 22.9551  CK04
119.5121 23.0898  CK05
119.5121 23.2246  CK06
119.5121 23.3593  CK07
119.6585 22.5509  CK08
119.6585 22.6856  CK09
119.6585 22.8203  CK10
119.6585 22.9551  CK11
119.6585 23.0898  CK12
119.6585 23.2246  CK13
119.6585 23.3593  CK14
119.8048 22.5509  CK15
119.8048 22.6856  CK16
119.8048 22.8203  CK17
119.8048 22.9551  CK18
119.8048 23.0898  CK19
119.8048 23.2246  CK20
119.8048 23.3593  CK21
119.9512 22.5509  CK22
119.9512 22.6856  CK23
119.9512 22.8203  CK24
119.9512 22.9551  CK25
119.9512 23.0898  CK26
119.9512 23.2246  CK27
119.9512 23.3593  CK28
120.0976 22.5509  CK29
120.0976 22.6856  CK30
120.0976 22.8203  CK31
120.0976 22.9551  CK32
120.0976 23.0898  CK33
120.0976 23.2246  CK34
120.0976 23.3593  CK35
120.2440 22.5509  CK36
120.2440 22.6856  CK37
120.2440 22.8203  CK38
120.2440 22.9551  CK39
120.2440 23.0898  CK40
120.2440 23.2246  CK41
120.2440 23.3593  CK42
120.3903 22.5509  CK43
120.3903 22.6856  CK44
120.3903 22.8203  CK45
120.3903 22.9551  CK46
120.3903 23.0898  CK47
120.3903 23.2246  CK48
120.3903 23.3593  CK49
