     lon       lat      ve     vn      eps1      eps1(sig)     eps2      eps2(sig)     theta   theta(sig)  rotation     rot(sig)  dilatation   dila(sig)     gamma    gamma(sig)      psi     psi(sig)  stations
  119.5500   22.6000  46.88  -2.28   0.811E-05   0.814E-06  -0.727E-05   0.808E-06   -45.9473     2.1356  -0.161E-04   0.573E-06   0.841E-06   0.115E-05   0.154E-04   0.574E-06    -0.9473     0.0706  CK01 CK02 CK08 CK09 CK03 CK10
  119.6000   22.6000  46.88  -1.85   0.739E-05   0.655E-06  -0.714E-05   0.655E-06   -44.9452     1.8261  -0.158E-04   0.463E-06   0.243E-06   0.926E-06   0.145E-04   0.463E-06     0.0548     0.0035  CK08 CK01 CK09 CK02 CK15 CK16 CK10 CK03
  119.6500   22.6000  46.86  -1.43   0.703E-05   0.839E-06  -0.690E-05   0.836E-06   -44.5131     2.4352  -0.155E-04   0.592E-06   0.126E-06   0.118E-05   0.139E-04   0.592E-06     0.4869     0.0414  CK08 CK09 CK01 CK02 CK15 CK16 CK10
  119.7000   22.6000  46.81  -1.00   0.666E-05   0.736E-06  -0.761E-05   0.731E-06   -43.6188     2.0828  -0.156E-04   0.519E-06  -0.952E-06   0.104E-05   0.143E-04   0.521E-06     1.3812     0.1004  CK08 CK09 CK15 CK16 CK01 CK02 CK10 CK17
  119.7500   22.6000  46.63  -0.72   0.631E-05   0.612E-06  -0.916E-05   0.583E-06   -37.7008     1.5653  -0.136E-04   0.423E-06  -0.286E-05   0.845E-06   0.155E-04   0.461E-06     7.2992     0.3945  CK15 CK16 CK08 CK09 CK22 CK23 CK17 CK10 CK01
  119.8000   22.6000  46.44  -0.43   0.717E-05   0.690E-06  -0.965E-05   0.625E-06   -30.9863     1.5857  -0.111E-04   0.465E-06  -0.248E-05   0.931E-06   0.168E-04   0.600E-06    14.0137     0.7451  CK15 CK16 CK08 CK22 CK09 CK23 CK17
  119.8500   22.6000  46.11  -0.29   0.678E-05   0.681E-06  -0.125E-04   0.649E-06   -33.7029     1.3951  -0.109E-04   0.470E-06  -0.576E-05   0.941E-06   0.193E-04   0.565E-06    11.2971     0.5360  CK15 CK16 CK22 CK23 CK08 CK09 CK17 CK24
  119.9000   22.6000  45.91  -0.20   0.727E-05   0.706E-06  -0.125E-04   0.676E-06   -38.6670     1.4185  -0.107E-04   0.489E-06  -0.519E-05   0.977E-06   0.197E-04   0.523E-06     6.3330     0.3110  CK22 CK23 CK15 CK16 CK29 CK30 CK24 CK17 CK08
  119.9500   22.6000  45.71  -0.10   0.697E-05   0.102E-05  -0.126E-04   0.992E-06   -41.7782     2.0748  -0.100E-04   0.710E-06  -0.566E-05   0.142E-05   0.196E-04   0.723E-06     3.2218     0.2328  CK22 CK23 CK15 CK29 CK16 CK30 CK24
  120.0000   22.6000  45.66   0.02   0.787E-05   0.799E-06  -0.124E-04   0.816E-06   -48.0502     1.6025  -0.120E-04   0.571E-06  -0.454E-05   0.114E-05   0.203E-04   0.580E-06    -3.0502     0.1713  CK22 CK23 CK29 CK30 CK15 CK16 CK24 CK31 CK36
