121.386324742 23.4542094220    6.008    4.510
121.475511248 23.6864068495    8.963    5.042
121.391215514 23.6325046608   99.862    5.498
121.512615064 23.5998108768   69.075    6.731
121.446608587 23.7476038772   -2.432    2.454
121.514115054 23.5995109507    8.664    4.612
121.301280010 24.3389807876   13.746    4.795
121.606693836 23.9767045787   70.438    4.580
121.265790991 24.1447847051    4.943    5.726
121.742673811 24.3103014297   29.684    5.328
121.417122201 23.4933096715    3.457    4.819
121.219486570 24.2437798235   -0.066    4.673
121.498921778 23.4735137777   10.929    4.396
121.803365241 24.4506002982   16.937    4.378
121.543999024 23.8985039709   36.444    4.516
121.375973814 24.4294815884    2.684    5.643
121.603491656 24.0192032592   98.145    5.262
121.644785138 24.1291020536   -7.351    4.402
121.555904531 23.7889075362   10.186    6.232
121.647585201 24.1270022366   -7.602    4.378
121.434605391 23.8132015187    5.634    6.999
121.591399606 23.8716068113   14.418    4.737
121.301679220 24.3535803914   18.370    5.570
121.594997808 23.9048060514  -34.422    6.014
