Year,Month,Date,susceptible(total test),infected(new cases),Recovered
2020,3,4,7173967,0,1.811662238
2020,3,5,7173937,0,1.851925098
2020,3,6,7173920,1,2.80728058
2020,3,7,7173883,2,4.681169744
2020,3,8,7173870,0,4.585997087
2020,3,9,7173853,0,4.728643878
2020,3,10,7173778,1,5.538799403
2020,3,11,7173715,3,8.417404864
2020,3,12,7173578,0,8.306542943
2020,3,13,7173187,0,8.33045124
2020,3,14,7172709,3,10.99307808
2020,3,15,7172448,0,10.98559961
2020,3,16,7172145,6,16.55409622
2020,3,17,7171102,2,18.17984191
2020,3,18,7169706,8,25.69697172
2020,3,19,7168257,16,41.73955989
2020,3,20,7166605,21,59.88044836
2020,3,21,7164686,39,93.12859454
2020,3,22,7163880,48,139.241766
2020,3,23,7163156,113,237.5097357
2020,3,24,7160608,92,327.0408737
2020,3,25,7158022,93,403.3569311
2020,3,26,7155293,127,527.5223501
2020,3,27,7152867,159,653.1923615
2020,3,28,7150460,137,773.6980924
2020,3,29,7149223,46,836.9713424
2020,3,30,7148442,238,1030.984925
2020,3,31,7146001,132,1190.295263
2020,4,1,7143727,124,1245.746856
2020,4,2,7141344,185,1442.574964
2020,4,3,7138932,171,1631.55942
2020,4,4,7136691,250,1843.780211
2020,4,5,7135553,250,2004.945613
2020,4,6,7134605,187,2212.714826
2020,4,7,7130941,119,2340.864348
2020,4,8,7128521,151,2452.137243
2020,4,9,7126632,292,2668.9392
2020,4,10,7124526,94,2857.840975
2020,4,11,7122565,281,3065.756907
2020,4,12,7121711,146,3191.49696
2020,4,13,7120813,163,3359.6623
2020,4,14,7118509,104,3431.466342
2020,4,15,7116338,156,3445.288309
2020,4,16,7114122,272,3781.811494
2020,4,17,7111787,273,4032.625216
2020,4,18,7109329,212,4148.983381
2020,4,19,7108348,210,4495.372718
2020,4,20,7107381,135,4399.97532
2020,4,21,7104636,187,4676.886394
2020,4,22,7102186,208,4694.864757
2020,4,23,7099676,310,5221.801636
2020,4,24,7097094,276,5460.410652
2020,4,25,7094103,235,5630.097423
2020,4,26,7092940,246,5738.923971
2020,4,27,7092048,190,5992.456747
2020,4,28,7088513,232,6195.2331
2020,4,29,7084453,254,6242.290292
2020,4,30,7080611,446,6575.256268
2020,5,1,7076506,314,7155.469044
2020,5,2,7071382,402,7565.538326
2020,5,3,7064833,276,7821.834447
2020,5,4,7063201,279,7900.499156
2020,5,5,7057516,386,8210.696913
2020,5,6,7051731,402,8500.940434
2020,5,7,7046029,238,8665.454029
2020,5,8,7038923,581,8995.243673
2020,5,9,7031893,434,9689.047529
2020,5,10,7020910,159,9497.316455
2020,5,11,7018754,261,10255.62789
2020,5,12,7010559,356,10010.03215
2020,5,13,7002465,440,10715.77309
2020,5,14,6995020,498,11200.58899
2020,5,15,6987751,495,11504.58881
2020,5,16,6978077,462,11807.84822
2020,5,17,6965735,306,12006.74509
2020,5,18,6962454,233,12388.80081
2020,5,19,6953332,396,12733.47557
2020,5,20,6945281,331,13281.52001
2020,5,21,6938452,418,13712.97497
2020,5,22,6930906,293,13505.44863
2020,5,23,6922750,431,13710.95387
2020,5,24,6916383,300,14666.62089
