 13
2001  2.7 -2.150
1003  2.2  2.218
2003  0.8  0.085
3004  0.1  0.234
1005  1.7  0.341
5006  0.6  1.090
7006  1.8 -1.564
4007  0.7  0.528
7008  0.9  0.179
6008  1.0  1.730
8009  1.6  3.366
5009  3.1  6.201
2010  3.2  2.440
4011  1.3  1.710
11010 0.2  0.418
11012 1.4  0.016
8012 0.6  1.015
12013 1.4  4.085
9013 2.0  1.728
10013 2.0  3.691
-99 1. 1.
1 
5  12.786
1   ' L-1 '
2   ' L-2 '
3   ' L-3 '
4   ' L-4 '
5   ' L-5 '
6   ' L-6 '
7   ' L-7 '
8   ' L-8 '
9   ' L-9 '
10  ' L-10'
11  ' L-11'
12  ' L-12'
13  ' L-13'

