city,year,month,station,溫度
彰化縣,2010,1,二林,16.98
新北市,2010,1,三重,16.95
苗栗縣,2010,1,三義,13.97
新北市,2010,1,土城,17.22
臺北市,2010,1,士林,17.13
臺中市,2010,1,大里,17.68
桃園市,2010,1,大園,17.12
高雄市,2010,1,大寮,20.01
高雄市,2010,1,小港,20.08
臺北市,2010,1,中山,17.62
桃園市,2010,1,中壢,15.93
高雄市,2010,1,仁武,19.82
雲林縣,2010,1,斗六,17.89
宜蘭縣,2010,1,冬山,16.69
臺北市,2010,1,古亭,17.22
桃園市,2010,1,平鎮,16.18
新北市,2010,1,永和,17.37
臺南市,2010,1,安南,17.48
嘉義縣,2010,1,朴子,18.03
新北市,2010,1,汐止,17
南投縣,2010,1,竹山,16.77
新竹縣,2010,1,竹東,16.26
臺中市,2010,1,西屯,17.22
臺中市,2010,1,沙鹿,16.37
宜蘭縣,2010,1,宜蘭,16.61
臺中市,2010,1,忠明,17.65
新北市,2010,1,林口,15.48
高雄市,2010,1,林園,20.55
新北市,2010,1,板橋,17.2
臺北市,2010,1,松山,17.21
花蓮縣,2010,1,花蓮,18.89
高雄市,2010,1,前金,18.97
高雄市,2010,1,前鎮,20.5
南投縣,2010,1,南投,17.34
屏東縣,2010,1,屏東,20.22
屏東縣,2010,1,恆春,21.26
高雄市,2010,1,美濃,19.47
苗栗縣,2010,1,苗栗,16.16
南投縣,2010,1,埔里,17.32
桃園市,2010,1,桃園,16.43
基隆市,2010,1,基隆,16.64
雲林縣,2010,1,崙背,17.25
高雄市,2010,1,復興,19.91
新竹縣,2010,1,湖口,15.72
臺南市,2010,1,善化,17.88
新北市,2010,1,菜寮,17.32
臺北市,2010,1,陽明,12.21
新竹市,2010,1,新竹,16.79
新北市,2010,1,新店,16.91
新北市,2010,1,新莊,16.52
嘉義縣,2010,1,新港,16.77
臺南市,2010,1,新營,18.34
高雄市,2010,1,楠梓,18.41
新北市,2010,1,萬里,16.51
臺北市,2010,1,萬華,16.79
嘉義市,2010,1,嘉義,17.98
彰化縣,2010,1,彰化,16.49
雲林縣,2010,1,臺西,17.3
臺東縣,2010,1,臺東,20.17
臺南市,2010,1,臺南,18.53
高雄市,2010,1,鳳山,19.68
屏東縣,2010,1,潮州,20.08
彰化縣,2010,1,線西,16.89
高雄市,2010,1,橋頭,18.83
苗栗縣,2010,1,頭份,16.19
桃園市,2010,1,龍潭,14.91
臺中市,2010,1,豐原,16.44
臺東縣,2010,1,關山,18.21
桃園市,2010,1,觀音,16.14
彰化縣,2010,2,二林,18.59
新北市,2010,2,三重,17.55
苗栗縣,2010,2,三義,15.52
新北市,2010,2,土城,17.9
臺北市,2010,2,士林,17.59
臺中市,2010,2,大里,19.19
桃園市,2010,2,大園,17.8
高雄市,2010,2,大寮,21.67
高雄市,2010,2,小港,21.79
臺北市,2010,2,中山,18.32
桃園市,2010,2,中壢,16.66
高雄市,2010,2,仁武,21.54
雲林縣,2010,2,斗六,19.41
宜蘭縣,2010,2,冬山,18.27
臺北市,2010,2,古亭,17.94
高雄市,2010,2,左營,21
桃園市,2010,2,平鎮,16.66
新北市,2010,2,永和,18.18
臺南市,2010,2,安南,19.82
嘉義縣,2010,2,朴子,19.8
新北市,2010,2,汐止,17.95
南投縣,2010,2,竹山,18.15
新竹縣,2010,2,竹東,17.24
臺中市,2010,2,西屯,18.45
臺中市,2010,2,沙鹿,18.02
宜蘭縣,2010,2,宜蘭,18.35
臺中市,2010,2,忠明,18.95
新北市,2010,2,林口,16.02
高雄市,2010,2,林園,22.35
新北市,2010,2,板橋,17.87
臺北市,2010,2,松山,18.69
花蓮縣,2010,2,花蓮,20.53
高雄市,2010,2,前金,20.71
高雄市,2010,2,前鎮,22.14
南投縣,2010,2,南投,18.74
屏東縣,2010,2,屏東,22.05
屏東縣,2010,2,恆春,23.2
高雄市,2010,2,美濃,21.06
苗栗縣,2010,2,苗栗,17.32
南投縣,2010,2,埔里,18.67
桃園市,2010,2,桃園,17.25
基隆市,2010,2,基隆,17.26
雲林縣,2010,2,崙背,19.07
高雄市,2010,2,復興,21.6
新竹縣,2010,2,湖口,16.48
臺南市,2010,2,善化,19.71
新北市,2010,2,菜寮,17.71
臺北市,2010,2,陽明,11.72
新竹市,2010,2,新竹,17.45
新北市,2010,2,新店,17.58
新北市,2010,2,新莊,17.01
嘉義縣,2010,2,新港,18.62
臺南市,2010,2,新營,20.16
高雄市,2010,2,楠梓,20.37
新北市,2010,2,萬里,17.05
臺北市,2010,2,萬華,17.85
嘉義市,2010,2,嘉義,19.65
彰化縣,2010,2,彰化,17.95
雲林縣,2010,2,臺西,18.82
臺東縣,2010,2,臺東,22.14
臺南市,2010,2,臺南,20.32
高雄市,2010,2,鳳山,21.21
屏東縣,2010,2,潮州,21.93
彰化縣,2010,2,線西,18.23
高雄市,2010,2,橋頭,20.61
苗栗縣,2010,2,頭份,17.08
桃園市,2010,2,龍潭,16.16
臺中市,2010,2,豐原,17.86
臺東縣,2010,2,關山,20.31
桃園市,2010,2,觀音,16.71
彰化縣,2010,3,二林,21.15
新北市,2010,3,三重,19.89
苗栗縣,2010,3,三義,17.76
新北市,2010,3,土城,20.36
臺北市,2010,3,士林,19.87
臺中市,2010,3,大里,22.01
桃園市,2010,3,大園,18.79
高雄市,2010,3,大寮,23.66
高雄市,2010,3,小港,23.84
臺北市,2010,3,中山,20.54
桃園市,2010,3,中壢,19.13
高雄市,2010,3,仁武,23.86
雲林縣,2010,3,斗六,22.12
宜蘭縣,2010,3,冬山,19.9
臺北市,2010,3,古亭,20.21
高雄市,2010,3,左營,23.26
桃園市,2010,3,平鎮,19.06
新北市,2010,3,永和,20.44
臺南市,2010,3,安南,22.48
嘉義縣,2010,3,朴子,22.3
新北市,2010,3,汐止,19.71
南投縣,2010,3,竹山,20.82
新竹縣,2010,3,竹東,19.23
臺中市,2010,3,西屯,20.86
臺中市,2010,3,沙鹿,19.7
宜蘭縣,2010,3,宜蘭,19.81
臺中市,2010,3,忠明,21.69
新北市,2010,3,林口,18.22
高雄市,2010,3,林園,23.95
新北市,2010,3,板橋,20.19
臺北市,2010,3,松山,20.39
花蓮縣,2010,3,花蓮,21.74
高雄市,2010,3,前金,23.12
高雄市,2010,3,前鎮,24.45
南投縣,2010,3,南投,21.53
屏東縣,2010,3,屏東,24.07
屏東縣,2010,3,恆春,23.86
高雄市,2010,3,美濃,23.11
苗栗縣,2010,3,苗栗,19.48
南投縣,2010,3,埔里,20.8
桃園市,2010,3,桃園,19.63
基隆市,2010,3,基隆,19.06
雲林縣,2010,3,崙背,21.25
高雄市,2010,3,復興,23.88
新竹縣,2010,3,湖口,18.79
臺南市,2010,3,善化,22.02
新北市,2010,3,菜寮,20.08
臺北市,2010,3,陽明,12.75
新竹市,2010,3,新竹,19.68
新北市,2010,3,新店,20.02
新北市,2010,3,新莊,19.41
嘉義縣,2010,3,新港,21.18
臺南市,2010,3,新營,22.54
高雄市,2010,3,楠梓,22.82
新北市,2010,3,萬里,18.66
臺北市,2010,3,萬華,20.14
嘉義市,2010,3,嘉義,22.79
彰化縣,2010,3,彰化,20.63
雲林縣,2010,3,臺西,21.07
臺東縣,2010,3,臺東,22.69
臺南市,2010,3,臺南,22.91
高雄市,2010,3,鳳山,23.93
屏東縣,2010,3,潮州,23.64
彰化縣,2010,3,線西,20.65
高雄市,2010,3,橋頭,23.09
苗栗縣,2010,3,頭份,19.21
桃園市,2010,3,龍潭,18.63
臺中市,2010,3,豐原,20.45
臺東縣,2010,3,關山,20.97
桃園市,2010,3,觀音,18.98
彰化縣,2010,4,二林,22.03
新北市,2010,4,三重,20.99
苗栗縣,2010,4,三義,18.73
新北市,2010,4,土城,21.32
臺北市,2010,4,士林,20.85
臺中市,2010,4,大里,23.02
桃園市,2010,4,大園,19.6
高雄市,2010,4,大寮,24.95
高雄市,2010,4,小港,25.06
臺北市,2010,4,中山,21.43
桃園市,2010,4,中壢,20.21
高雄市,2010,4,仁武,25.13
雲林縣,2010,4,斗六,22.95
宜蘭縣,2010,4,冬山,20.82
臺北市,2010,4,古亭,21.02
高雄市,2010,4,左營,24.84
桃園市,2010,4,平鎮,20.21
新北市,2010,4,永和,21.31
臺南市,2010,4,安南,23.34
嘉義縣,2010,4,朴子,23.06
新北市,2010,4,汐止,20.76
南投縣,2010,4,竹山,21.58
新竹縣,2010,4,竹東,20.38
臺中市,2010,4,西屯,21.8
臺中市,2010,4,沙鹿,21.91
宜蘭縣,2010,4,宜蘭,20.77
臺中市,2010,4,忠明,22.55
新北市,2010,4,林口,19.4
高雄市,2010,4,林園,25.47
新北市,2010,4,板橋,21.13
臺北市,2010,4,松山,21.29
花蓮縣,2010,4,花蓮,22.6
高雄市,2010,4,前金,24.15
高雄市,2010,4,前鎮,25.51
南投縣,2010,4,南投,22.26
屏東縣,2010,4,屏東,25.37
屏東縣,2010,4,恆春,24.93
高雄市,2010,4,美濃,24.39
苗栗縣,2010,4,苗栗,20.73
南投縣,2010,4,埔里,21.95
桃園市,2010,4,桃園,20.52
基隆市,2010,4,基隆,20.44
雲林縣,2010,4,崙背,22.23
高雄市,2010,4,復興,24.94
新竹縣,2010,4,湖口,20.04
臺南市,2010,4,善化,23.09
新北市,2010,4,菜寮,20.98
臺北市,2010,4,陽明,13.38
新竹市,2010,4,新竹,20.95
新北市,2010,4,新店,20.96
新北市,2010,4,新莊,20.28
嘉義縣,2010,4,新港,21.98
臺南市,2010,4,新營,23.41
高雄市,2010,4,楠梓,24.02
新北市,2010,4,萬里,19.98
臺北市,2010,4,萬華,20.93
嘉義市,2010,4,嘉義,23.21
彰化縣,2010,4,彰化,21.65
雲林縣,2010,4,臺西,22
臺東縣,2010,4,臺東,23.84
臺南市,2010,4,臺南,23.88
高雄市,2010,4,鳳山,25.05
屏東縣,2010,4,潮州,25.09
彰化縣,2010,4,線西,21.65
高雄市,2010,4,橋頭,24.31
苗栗縣,2010,4,頭份,20.68
桃園市,2010,4,龍潭,19.69
臺中市,2010,4,豐原,21.51
臺東縣,2010,4,關山,22.5
桃園市,2010,4,觀音,20.26
彰化縣,2010,5,二林,26.38
新北市,2010,5,三重,25.64
苗栗縣,2010,5,三義,23.36
新北市,2010,5,土城,25.96
臺北市,2010,5,士林,25.43
臺中市,2010,5,大里,27.8
桃園市,2010,5,大園,24.45
高雄市,2010,5,大寮,27.92
高雄市,2010,5,小港,27.92
臺北市,2010,5,中山,26.13
桃園市,2010,5,中壢,24.91
高雄市,2010,5,仁武,28.66
雲林縣,2010,5,斗六,27.35
宜蘭縣,2010,5,冬山,25.15
臺北市,2010,5,古亭,25.72
高雄市,2010,5,左營,28.76
桃園市,2010,5,平鎮,24.86
新北市,2010,5,永和,26.07
臺南市,2010,5,安南,27.5
嘉義縣,2010,5,朴子,27.12
新北市,2010,5,汐止,25.31
南投縣,2010,5,竹山,25.81
新竹縣,2010,5,竹東,24.76
臺中市,2010,5,西屯,25.83
臺中市,2010,5,沙鹿,26.11
宜蘭縣,2010,5,宜蘭,25.1
臺中市,2010,5,忠明,27.17
新北市,2010,5,林口,23.93
