city,year,month,station,放,Season
籓玭カ,2009,1,玭,17.15,winter
籓玭カ,2009,1,到て,16.47,winter
籓玭カ,2009,1,穝犁,16.7,winter
籓玭カ,2009,1,籓玭,17.37,winter
籓玭カ,2009,2,玭,22.95,winter
籓玭カ,2009,2,到て,21.74,winter
籓玭カ,2009,2,穝犁,22.51,winter
籓玭カ,2009,2,籓玭,22.84,winter
籓玭カ,2009,3,玭,21.66,spring
籓玭カ,2009,3,到て,20.85,spring
籓玭カ,2009,3,穝犁,21.41,spring
籓玭カ,2009,3,籓玭,21.73,spring
籓玭カ,2009,4,玭,23.97,spring
籓玭カ,2009,4,到て,22.97,spring
籓玭カ,2009,4,穝犁,23.82,spring
籓玭カ,2009,4,籓玭,23.92,spring
籓玭カ,2009,5,玭,27.34,spring
籓玭カ,2009,5,到て,26.12,spring
籓玭カ,2009,5,穝犁,27.06,spring
籓玭カ,2009,5,籓玭,27.28,spring
籓玭カ,2009,6,玭,29.05,summer
籓玭カ,2009,6,到て,27.67,summer
籓玭カ,2009,6,穝犁,28.66,summer
籓玭カ,2009,6,籓玭,28.65,summer
籓玭カ,2009,7,玭,30.15,summer
籓玭カ,2009,7,到て,28.89,summer
籓玭カ,2009,7,穝犁,29.79,summer
籓玭カ,2009,7,籓玭,29.59,summer
籓玭カ,2009,8,玭,29.9,summer
籓玭カ,2009,8,到て,28.86,summer
籓玭カ,2009,8,穝犁,29.67,summer
籓玭カ,2009,8,籓玭,29.81,summer
籓玭カ,2009,9,玭,29.75,fall
籓玭カ,2009,9,到て,29.18,fall
籓玭カ,2009,9,穝犁,29.97,fall
籓玭カ,2009,9,籓玭,30.02,fall
籓玭カ,2009,10,玭,25.87,fall
籓玭カ,2009,10,到て,25.7,fall
籓玭カ,2009,10,穝犁,26.25,fall
籓玭カ,2009,10,籓玭,26.45,fall
籓玭カ,2009,11,玭,22.5,fall
籓玭カ,2009,11,到て,22.52,fall
籓玭カ,2009,11,穝犁,23.08,fall
籓玭カ,2009,11,籓玭,23.27,fall
籓玭カ,2009,12,玭,17.89,winter
籓玭カ,2009,12,到て,18.26,winter
