city,year,month,station,溫度,Season
彰化縣,2009,1,二林,15.83,winter
新北市,2009,1,三重,16.35,winter
苗栗縣,2009,1,三義,12.09,winter
新北市,2009,1,土城,15.61,winter
臺北市,2009,1,士林,15.72,winter
臺中市,2009,1,大里,15.22,winter
桃園市,2009,1,大園,15.86,winter
高雄市,2009,1,大寮,18.47,winter
高雄市,2009,1,小港,19.28,winter
臺北市,2009,1,中山,15.18,winter
桃園市,2009,1,中壢,14.46,winter
高雄市,2009,1,仁武,18.09,winter
雲林縣,2009,1,斗六,16.29,winter
宜蘭縣,2009,1,冬山,16.08,winter
臺北市,2009,1,古亭,16.73,winter
高雄市,2009,1,左營,17.68,winter
桃園市,2009,1,平鎮,15.74,winter
新北市,2009,1,永和,15.72,winter
臺南市,2009,1,安南,17.15,winter
嘉義縣,2009,1,朴子,16.22,winter
新北市,2009,1,汐止,16.23,winter
南投縣,2009,1,竹山,15.43,winter
新竹縣,2009,1,竹東,14.66,winter
臺中市,2009,1,西屯,15.39,winter
臺中市,2009,1,沙鹿,14.99,winter
宜蘭縣,2009,1,宜蘭,18.24,winter
臺中市,2009,1,忠明,15.24,winter
新北市,2009,1,林口,13.1,winter
高雄市,2009,1,林園,19.12,winter
新北市,2009,1,板橋,15.78,winter
臺北市,2009,1,松山,15.79,winter
花蓮縣,2009,1,花蓮,18.28,winter
高雄市,2009,1,前金,18.32,winter
高雄市,2009,1,前鎮,18.85,winter
南投縣,2009,1,南投,15.52,winter
屏東縣,2009,1,屏東,18.81,winter
屏東縣,2009,1,恆春,19.92,winter
高雄市,2009,1,美濃,18.45,winter
苗栗縣,2009,1,苗栗,14.87,winter
南投縣,2009,1,埔里,15.2,winter
桃園市,2009,1,桃園,14.96,winter
基隆市,2009,1,基隆,15.65,winter
雲林縣,2009,1,崙背,15.71,winter
高雄市,2009,1,復興,19.1,winter
新竹縣,2009,1,湖口,14.56,winter
臺南市,2009,1,善化,16.47,winter
新北市,2009,1,菜寮,16.06,winter
臺北市,2009,1,陽明,10.04,winter
新竹市,2009,1,新竹,15.66,winter
新北市,2009,1,新店,15.34,winter
新北市,2009,1,新莊,15.11,winter
嘉義縣,2009,1,新港,15.36,winter
臺南市,2009,1,新營,16.7,winter
高雄市,2009,1,楠梓,17.47,winter
新北市,2009,1,萬里,15.62,winter
臺北市,2009,1,萬華,15.66,winter
嘉義市,2009,1,嘉義,16.42,winter
彰化縣,2009,1,彰化,15.09,winter
雲林縣,2009,1,臺西,16.43,winter
臺東縣,2009,1,臺東,19.68,winter
臺南市,2009,1,臺南,17.37,winter
高雄市,2009,1,鳳山,18.08,winter
屏東縣,2009,1,潮州,18.28,winter
彰化縣,2009,1,線西,15.69,winter
高雄市,2009,1,橋頭,17.64,winter
苗栗縣,2009,1,頭份,14.59,winter
桃園市,2009,1,龍潭,13.47,winter
臺中市,2009,1,豐原,14.79,winter
臺東縣,2009,1,關山,17.38,winter
桃園市,2009,1,觀音,14.51,winter
彰化縣,2009,2,二林,21.2,winter
新北市,2009,2,三重,20.85,winter
苗栗縣,2009,2,三義,18,winter
新北市,2009,2,土城,20.24,winter
臺北市,2009,2,士林,20.32,winter
臺中市,2009,2,大里,21.38,winter
桃園市,2009,2,大園,19.23,winter
高雄市,2009,2,大寮,23.43,winter
高雄市,2009,2,小港,24.43,winter
臺北市,2009,2,中山,19.87,winter
桃園市,2009,2,中壢,19.02,winter
高雄市,2009,2,仁武,23.7,winter
雲林縣,2009,2,斗六,21.93,winter
宜蘭縣,2009,2,冬山,19.96,winter
臺北市,2009,2,古亭,20.57,winter
高雄市,2009,2,左營,23.36,winter
桃園市,2009,2,平鎮,19.23,winter
新北市,2009,2,永和,20.37,winter
臺南市,2009,2,安南,22.95,winter
嘉義縣,2009,2,朴子,21.6,winter
新北市,2009,2,汐止,19.75,winter
南投縣,2009,2,竹山,21.17,winter
新竹縣,2009,2,竹東,19.84,winter
臺中市,2009,2,西屯,20.73,winter
臺中市,2009,2,沙鹿,20.5,winter
宜蘭縣,2009,2,宜蘭,20.81,winter
臺中市,2009,2,忠明,20.89,winter
新北市,2009,2,林口,17.85,winter
高雄市,2009,2,林園,23.75,winter
新北市,2009,2,板橋,20.43,winter
臺北市,2009,2,松山,20.13,winter
花蓮縣,2009,2,花蓮,21.68,winter
高雄市,2009,2,前金,23.68,winter
高雄市,2009,2,前鎮,24.05,winter
南投縣,2009,2,南投,21.62,winter
屏東縣,2009,2,屏東,24.57,winter
屏東縣,2009,2,恆春,23.35,winter
高雄市,2009,2,美濃,23.94,winter
苗栗縣,2009,2,苗栗,19.9,winter
南投縣,2009,2,埔里,21.07,winter
桃園市,2009,2,桃園,19.79,winter
基隆市,2009,2,基隆,19.23,winter
雲林縣,2009,2,崙背,21.05,winter
高雄市,2009,2,復興,24.34,winter
新竹縣,2009,2,湖口,19.1,winter
臺南市,2009,2,善化,21.74,winter
新北市,2009,2,菜寮,20.66,winter
臺北市,2009,2,陽明,15.96,winter
新竹市,2009,2,新竹,20.01,winter
新北市,2009,2,新店,20.12,winter
新北市,2009,2,新莊,19.84,winter
嘉義縣,2009,2,新港,21.05,winter
臺南市,2009,2,新營,22.51,winter
高雄市,2009,2,楠梓,23.35,winter
新北市,2009,2,萬里,18.86,winter
臺北市,2009,2,萬華,20.29,winter
嘉義市,2009,2,嘉義,22.14,winter
彰化縣,2009,2,彰化,21.23,winter
雲林縣,2009,2,臺西,21.32,winter
臺東縣,2009,2,臺東,23.07,winter
臺南市,2009,2,臺南,22.84,winter
高雄市,2009,2,鳳山,23.67,winter
屏東縣,2009,2,潮州,23.43,winter
彰化縣,2009,2,線西,21.08,winter
高雄市,2009,2,橋頭,23.42,winter
苗栗縣,2009,2,頭份,19.28,winter
桃園市,2009,2,龍潭,18.45,winter
臺中市,2009,2,豐原,20.66,winter
臺東縣,2009,2,關山,21.54,winter
桃園市,2009,2,觀音,18.55,winter
彰化縣,2009,3,二林,19.98,Spring
新北市,2009,3,三重,19.25,Spring
苗栗縣,2009,3,三義,16.74,Spring
新北市,2009,3,土城,18.69,Spring
臺北市,2009,3,士林,18.67,Spring
臺中市,2009,3,大里,20.68,Spring
桃園市,2009,3,大園,18.21,Spring
高雄市,2009,3,大寮,22.92,Spring
高雄市,2009,3,小港,24.15,Spring
臺北市,2009,3,中山,18.34,Spring
桃園市,2009,3,中壢,17.65,Spring
高雄市,2009,3,仁武,23.08,Spring
雲林縣,2009,3,斗六,20.84,Spring
宜蘭縣,2009,3,冬山,19.28,Spring
臺北市,2009,3,古亭,19.09,Spring
高雄市,2009,3,左營,22.67,Spring
桃園市,2009,3,平鎮,17.92,Spring
新北市,2009,3,永和,18.93,Spring
臺南市,2009,3,安南,21.66,Spring
嘉義縣,2009,3,朴子,20.73,Spring
新北市,2009,3,汐止,18.46,Spring
南投縣,2009,3,竹山,20.03,Spring
新竹縣,2009,3,竹東,18.27,Spring
臺中市,2009,3,西屯,19.7,Spring
臺中市,2009,3,沙鹿,19.21,Spring
宜蘭縣,2009,3,宜蘭,19.98,Spring
臺中市,2009,3,忠明,19.53,Spring
新北市,2009,3,林口,16.37,Spring
高雄市,2009,3,林園,23.65,Spring
新北市,2009,3,板橋,18.84,Spring
臺北市,2009,3,松山,18.76,Spring
花蓮縣,2009,3,花蓮,21.18,Spring
高雄市,2009,3,前金,23.27,Spring
高雄市,2009,3,前鎮,23.72,Spring
南投縣,2009,3,南投,20.42,Spring
屏東縣,2009,3,屏東,24.05,Spring
屏東縣,2009,3,恆春,25.19,Spring
高雄市,2009,3,美濃,23.78,Spring
苗栗縣,2009,3,苗栗,18.64,Spring
南投縣,2009,3,埔里,20.96,Spring
桃園市,2009,3,桃園,18.14,Spring
基隆市,2009,3,基隆,18.22,Spring
雲林縣,2009,3,崙背,19.84,Spring
高雄市,2009,3,復興,24.01,Spring
新竹縣,2009,3,湖口,17.69,Spring
臺南市,2009,3,善化,20.85,Spring
新北市,2009,3,菜寮,19.09,Spring
臺北市,2009,3,陽明,12.59,Spring
新竹市,2009,3,新竹,18.61,Spring
新北市,2009,3,新店,18.7,Spring
新北市,2009,3,新莊,18.19,Spring
嘉義縣,2009,3,新港,19.96,Spring
臺南市,2009,3,新營,21.41,Spring
高雄市,2009,3,楠梓,22.73,Spring
新北市,2009,3,萬里,17.84,Spring
臺北市,2009,3,萬華,18.76,Spring
嘉義市,2009,3,嘉義,21.04,Spring
彰化縣,2009,3,彰化,19.59,Spring
雲林縣,2009,3,臺西,20.17,Spring
臺東縣,2009,3,臺東,22.83,Spring
臺南市,2009,3,臺南,21.73,Spring
高雄市,2009,3,鳳山,23.14,Spring
屏東縣,2009,3,潮州,23.43,Spring
彰化縣,2009,3,線西,20.07,Spring
高雄市,2009,3,橋頭,22.8,Spring
苗栗縣,2009,3,頭份,18.12,Spring
桃園市,2009,3,龍潭,16.82,Spring
臺中市,2009,3,豐原,19.21,Spring
臺東縣,2009,3,關山,20.77,Spring
桃園市,2009,3,觀音,17.52,Spring
