SiteName,County,year,month,day,PM25_obs,NO2,PM10,O3,Temperature,RH,NDVI,Residential_Area,Majorroad,Waterbody
三重,新北市,2020,8,1,5,7.92965889,12.99180031,13.59000015,32.02339172,57.42040634,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,1,6,8.157917976,15.99995136,14.25005055,31.41680908,64.44736481,0.300602824,173.502,0,0
永和,新北市,2020,8,1,2,7.639773369,6.022879124,13.30278111,31.7378006,60.60958862,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,1,3,5.854440689,6.999197483,12.7018795,30.01985931,69.58016968,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,1,8,8.507090569,15.99759197,16.98799706,31.31744003,62.4606781,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,1,5,8.550214768,13.00239658,13.68893051,31.41363907,63.67621231,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,1,3,6.856579781,5.001400948,14.98533917,29.7399292,63.46763992,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,1,3,5.322107792,10.99095726,14.43529129,28.59445953,68.31317902,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,1,4,7.917536259,12.00400639,13.51937103,31.98958015,58.82397461,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,1,4,8.030195236,6.996192455,13.36612415,31.28527069,63.65671921,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,1,5,8.859290123,15.9900198,14.50367451,31.21195984,63.84542847,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,1,3,5.292185783,5.009587288,13.09755993,29.26696014,72.53836823,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,2,8,8.541811943,13.88625431,17.48031616,30.53520012,67.81906891,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,2,7,8.10644722,13.24073982,18.53924561,30.07100105,72.62060547,0.300602824,173.502,0,0
永和,新北市,2020,8,2,4,8.286025047,12.63627052,15.86392117,30.23367119,71.62647247,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,2,5,6.926865578,12.84348011,14.78617954,28.18065071,81.68921661,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,2,7,8.414504051,14.71585178,20.51385689,29.87212944,70.86677551,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,2,5,8.524941444,13.80313206,18.17009163,29.99433136,73.09938812,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,2,6,7.733974457,13.20093155,18.62621307,28.37671089,73.70394135,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,2,5,6.281595707,13.18830299,19.80246925,27.30792999,80.66441345,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,2,7,8.523159027,13.89001942,17.84632301,30.48727036,69.79375458,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,2,3,8.33070755,12.40690231,15.22218418,29.60893059,75.69516754,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,2,8,8.727871895,14.28336144,19.80483818,29.80642128,72.70518494,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,2,5,6.261317253,13.41165733,16.4281292,27.94062996,82.9220047,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,3,7.7,13.36669064,10.90820503,8.01101017,26.82813072,89.54746246,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,3,2.8,12.24408817,11.19848061,8.458158493,26.53498077,93.46195221,0.300602824,173.502,0,0
永和,新北市,2020,8,3,4.5,13.1157198,10.13289166,7.422127247,26.72303009,90.95240784,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,3,,11.65976524,9.69654274,8.613843918,25.59120941,92.89485169,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,3,2.9,11.74409294,9.341552734,11.25437164,26.20438957,91.62467194,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,3,4.7,13.23693848,10.83887768,8.206996918,26.41081047,91.41821289,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,3,3.1,10.81619072,9.195772171,13.13817501,25.05591011,92.14083862,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,3,2.9,8.897380829,11.35817814,17.45323944,24.91348076,92.98726654,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,3,4.3,13.33276749,10.51542664,8.136972427,26.72859955,90.03404999,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,3,2.9,12.80471325,10.19089413,7.279145241,26.4721508,92.18527985,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,3,4,12.99663162,10.98605251,9.532013893,26.33945084,91.93396759,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,3,3.5,9.811783791,10.58841515,13.55296135,25.4793396,94.15016937,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,4,13.6,21.324646,23.47098541,17.93875885,28.34876061,80.83090973,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,4,9,20.05521011,23.54744911,18.92149735,27.78407097,86.63388825,0.300602824,173.502,0,0
永和,新北市,2020,8,4,10.4,20.81444931,22.06425095,17.94888878,28.227211,84.24764252,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,4,,16.89605713,22.58823586,17.22111893,27.3895092,84.40816498,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,4,7.8,19.604702,21.02351761,18.24656105,27.68174934,83.11005402,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,4,10.8,21.26314354,24.18579674,18.76870155,27.72755051,85.56317139,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,4,7.2,17.32798195,17.84121132,19.16754532,26.50428963,84.01338959,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,4,5.9,13.03743172,21.53343582,20.1402607,26.39668083,83.70418549,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,4,9.4,21.2634449,23.50294304,18.00077438,28.21648979,83.61946106,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,4,7.1,20.36748123,21.2011776,18.15494537,27.92726898,85.80935669,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,4,11.9,21.34258843,23.76573563,18.82330704,27.62722015,85.26796722,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,4,6.7,13.50423813,20.5520649,19.00443077,27.36612892,84.10939789,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,5,10.4,15.37632942,16.55967331,14.29794121,29.65826988,73.15275574,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,5,6.5,15.06059742,17.7866745,15.33396816,29.19774056,78.58731079,0.300602824,173.502,0,0
永和,新北市,2020,8,5,7.6,14.80714703,15.44660854,14.20331478,29.77984047,74.85017395,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,5,,11.46423912,14.40537167,14.17256832,28.51841927,77.09107208,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,5,6.1,14.85875702,15.91988373,14.31513786,28.60174942,78.31639099,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,5,6.8,15.78529453,17.54340744,14.99352646,29.15023995,77.37269592,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,5,4,12.63853836,13.30620289,14.78537846,27.42778015,79.3681488,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,5,4.5,9.321451187,13.8289299,17.70690155,26.75379944,82.29170227,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,5,8.1,15.36481953,16.59429359,14.40912342,29.51243019,76.02861786,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,5,3.6,14.4451704,15.49873638,14.48773861,29.38207054,77.75945282,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,5,7.4,15.92505074,17.5176487,14.92555428,28.9283905,77.92996979,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,5,5,9.491875649,13.68763638,16.28667831,28.14385986,79.68744659,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,6,16.8,12.12095451,25.89576721,15.66429615,31.26815033,62.96019363,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,6,,11.54281616,24.14050484,17.35643959,30.68594933,68.47855377,0.300602824,173.502,0,0
永和,新北市,2020,8,6,10.5,11.39735699,23.30436516,9.958843231,30.98300934,65.91636658,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,6,,8.960450172,24.64922142,13.49975109,29.54386902,71.3839798,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,6,11.4,13.03352642,25.13526535,16.06248093,30.40834045,68.14993286,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,6,9.8,12.26649952,24.85459709,16.66489792,30.59635925,68.74481201,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,6,11.9,11.28616715,23.11284828,14.84307861,28.97315025,70.43584442,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,6,6.7,9.275087357,18.58724785,20.79349327,28.06637001,73.49411011,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,6,14,12.11342335,25.8801899,16.12190628,31.18147087,64.51103211,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,6,10.3,11.35453034,22.66403008,15.61937332,30.55554009,69.14673615,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,6,14.2,13.01796246,25.98402214,20.00285912,30.44927979,68.6485672,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,6,4.9,8.758669853,21.87398338,15.05379486,29.17858887,72.9052887,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,7,15.8,15.03308582,25.8524704,21.19859314,31.14429092,65.64428711,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,7,,14.4994688,24.69416237,22.18406677,30.69620895,70.29253388,0.300602824,173.502,0,0
永和,新北市,2020,8,7,11.8,13.98704433,23.85571671,20.44656944,31.18737984,66.86507416,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,7,,11.08835602,21.89479256,17.66739273,29.94573021,70.11266327,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,7,10.8,14.2453289,22.75209427,22.77532196,30.08666992,71.97872925,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,7,9,15.41098118,25.04138947,21.75597763,30.66703987,70.65480804,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,7,12,12.60546684,21.68184662,23.31988907,28.69459915,73.97223663,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,7,8.9,10.00230408,17.96338654,23.64874268,28.06500053,76.72946167,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,7,14.1,15.00703526,25.8811512,21.36359596,31.04163933,67.83513641,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,7,12.6,14.07542896,23.30830383,20.44261169,30.88649941,68.7001648,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,7,13.3,15.56280422,25.11688232,22.2179966,30.40385056,71.29013825,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,7,,9.730537415,18.37836838,19.42507362,29.41095924,72.46546936,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,8,13.1,13.15692139,22.11392975,23.86738396,30.65011025,67.21061707,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,8,,12.41927242,23.33753967,25.46356964,30.22186089,72.72818756,0.300602824,173.502,0,0
永和,新北市,2020,8,8,10.5,12.76514626,19.95463944,25.05451584,30.66822052,69.12814331,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,8,11.1,10.05276966,19.24463081,26.80371285,29.15974999,73.85909271,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,8,11.2,11.93736744,20.43506622,23.43336105,29.60709,73.72945404,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,8,11.4,13.36245251,23.1515789,24.42104912,30.16394043,73.02452087,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,8,9.3,10.77879047,16.18087959,23.74122429,28.15658951,75.88842773,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,8,7.2,8.854772568,15.81261349,25.93057823,27.13455963,81.01074982,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,8,12,13.11620235,22.5995388,23.74249649,30.54510117,69.90473175,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,8,9.9,12.62341785,18.97802734,27.51327515,30.43588066,70.68039703,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,8,12.8,13.38637734,24.3917923,23.90879631,29.90644074,73.26719666,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,8,,8.809337616,16.25857735,25.54836845,28.35643005,77.82650757,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,9,11,13.57573319,19.54238129,18.86436272,30.14118958,67.23439026,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,9,,11.83483219,18.01441193,20.50407791,30.00375938,70.41376495,0.300602824,173.502,0,0
永和,新北市,2020,8,9,8,12.63142872,17.35210419,19.97838402,30.21171951,68.84637451,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,9,9,10.94792461,17.63009453,20.25201798,28.61408043,74.44412232,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,9,9,11.55104256,17.4000454,20.05900955,29.33864975,71.41758728,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,9,8,12.98743343,18.70551491,19.78855133,29.88792992,71.08959961,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,9,7,11.40006161,15.94447708,19.56628227,27.66959953,73.65158081,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,9,6,8.895656586,14.06450939,24.05148888,26.74250984,76.93378449,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,9,10,13.45972252,19.51870728,18.92616272,30.08202934,69.16292572,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,9,8,12.18249512,16.59350395,21.4810524,29.9586792,69.96712494,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,9,11,13.04493809,19.12870216,19.79477882,29.65250969,71.07787323,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,9,,9.495546341,16.20643425,21.24542999,28.03811073,75.98912811,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,10,17.3,18.12383843,25.96671867,25.94672012,29.98117065,74.42279053,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,10,,16.80953217,25.57929611,27.67644692,29.27428055,78.91422272,0.300602824,173.502,0,0
永和,新北市,2020,8,10,10.4,16.86850929,24.66158676,26.0651207,29.77931976,76.58939362,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,10,11.4,13.64758015,23.09974098,23.52362251,28.62115097,79.71234131,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,10,16,17.48354721,26.55015945,27.75988007,29.00374985,78.90644074,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,10,12.9,17.83181191,26.04214287,27.18844986,29.25968933,78.59689331,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,10,13.1,15.54609394,25.03230476,27.65763664,27.87726021,80.00876617,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,10,8.6,11.50183773,23.58508873,25.72140503,27.2241993,82.49593353,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,10,15.5,18.02488709,25.98711395,26.02685356,29.84741974,76.47293091,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,10,11.3,16.44493675,24.40306473,26.24614906,29.45648956,78.25243378,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,10,15.5,18.28731537,26.63763809,27.49408531,29.09050942,79.13554382,0.314500302,31.5457,0.001553091,0
萬里,新北市,2020,8,10,,11.69353199,22.8016243,24.55522919,28.22821045,80.37884522,0.480132163,94.6372,0.002473733,536.2775879
三重,新北市,2020,8,11,13,19.05630112,20.82817459,11.96738434,28.40948105,83.64810181,0.208661512,331.23,0.010765139,0
土城,新北市,2020,8,11,8,16.76136971,20.52690125,13.13862038,27.95549011,87.87310791,0.300602824,173.502,0,0
永和,新北市,2020,8,11,8,17.45361137,19.09718514,12.34020996,28.40430069,83.86818695,0.247714818,473.186,0.003537382,307.5709839
汐止,新北市,2020,8,11,8,15.27011776,19.35097313,13.65514565,27.4229908,86.68707275,0.400345415,118.297,0.002625325,181.3880158
林口,新北市,2020,8,11,11,18.1949501,22.19299698,13.17569065,27.49542046,88.12310791,0.539458692,86.7508,0.002761027,0
板橋,新北市,2020,8,11,8,18.14145279,21.05486679,12.63192654,27.86964989,86.04155731,0.247358352,417.981,0.003244307,0
淡水,新北市,2020,8,11,8,15.88453388,20.11455154,15.39087868,26.36291122,88.91667175,0.612934411,126.183,0.002618249,599.3690796
富貴角,新北市,2020,8,11,6,11.01991272,18.91751099,17.25381088,25.98756027,89.52265167,0.612193644,7.88644,0,1356.466919
菜寮,新北市,2020,8,11,11,18.97340202,20.84974098,11.98592186,28.31822014,84.18976593,0.236410722,181.388,0.001842061,0
新店,新北市,2020,8,11,6,16.42913246,19.0293293,12.61383343,28.1293602,85.23079681,0.29204005,843.849,0.000391359,0
新莊,新北市,2020,8,11,11,18.64764404,21.56407356,12.92427158,27.70215988,86.58740234,0.314500302,31.5457,0.001553091,0
