year,city  ,ntd
2011,臺北市,1645287
2011,臺中市,1149637
2011,高雄市,1091973
2011,花蓮縣,945987
2012,臺北市,1683958
2012,臺中市,1115529
2012,高雄市,1137939
2012,花蓮縣,951580
2013,臺北市,1683958
2013,臺中市,1115529
2013,高雄市,1137939
2013,花蓮縣,951580
2014,臺北市,1683958
2014,臺中市,1115529
2014,高雄市,1137939
2014,花蓮縣,951580
2015,臺北市,1683958
2015,臺中市,1115529
2015,高雄市,1137939
2015,花蓮縣,951580
2016,臺北市,1683958
2016,臺中市,1115529
2016,高雄市,1137939
2016,花蓮縣,951580
2017,臺北市,1683958
2017,臺中市,1115529
2017,高雄市,1137939
2017,花蓮縣,951580
2018,臺北市,1683958
2018,臺中市,1115529
2018,高雄市,1137939
2018,花蓮縣,951580
2019,臺北市,1839410
2019,臺中市,1357725
2019,高雄市,1291257
2019,花蓮縣,989679
2020,臺北市,1831867
2020,臺中市,1354544
2020,高雄市,1289257
2020,花蓮縣,1059113
2012,花蓮縣,951580
2013,臺北市,1683958
2013,臺中市,1115529
2013,高雄市,1137939
2013,花蓮縣,951580
2014,臺北市,1683958
2014,臺中市,1115529
2014,高雄市,1137939
2014,花蓮縣,951580
2015,臺北市,1683958
2015,臺中市,1115529
2015,高雄市,1137939
2015,花蓮縣,951580
2016,臺北市,1683958
2016,臺中市,1115529
2016,高雄市,1137939
2016,花蓮縣,951580
2017,臺北市,1683958
2017,臺中市,1115529
2017,高雄市,1137939
2017,花蓮縣,951580
2018,臺北市,1683958
2018,臺中市,1115529
2018,高雄市,1137939
2018,花蓮縣,951580
2019,臺北市,1839410
2019,臺中市,1357725
2019,高雄市,1291257
2019,花蓮縣,989679
2020,臺北市,1831867
2020,臺中市,1354544
2020,高雄市,1289257
2020,花蓮縣,1059113
