year,city ,ntd
2011,臺灣地區,925287
2011,新北市,935168
2011,臺北市,1283016
2011,桃園市,1043966
2011,臺中市,911325
2011,臺南市,795970
2011,高雄市,873949
2011,宜蘭縣,757937
2011,新竹縣,1182169
2011,苗栗縣,836244
2011,彰化縣,728535
2011,南投縣,782085
2011,雲林縣,635151
2011,嘉義縣,637143
2011,屏東縣,715490
2011,臺東縣,560697
2011,花蓮縣,717897
2011,澎湖縣,641958
2011,基隆市,890771
2011,新竹市,1309090
2011,嘉義市,773307
2011,金門縣,737547
2011,連江縣,887309
2012,臺灣地區,926488
2012,新北市,931124
2012,臺北市,1266246
2012,桃園市,1047542
2012,臺中市,898272
2012,臺南市,784490
2012,高雄市,886148
2012,宜蘭縣,881325
2012,新竹縣,1171976
2012,苗栗縣,814895
2012,彰化縣,758591
2012,南投縣,803720
2012,雲林縣,626903
2012,嘉義縣,704894
2012,屏東縣,706989
2012,臺東縣,591181
2012,花蓮縣,732483
2012,澎湖縣,652440
2012,基隆市,829687
2012,新竹市,1241683
2012,嘉義市,870722
2012,金門縣,713693
2012,連江縣,768400
2013,臺灣地區,945985
2013,新北市,949046
2013,臺北市,1268018
2013,桃園市,1062114
2013,臺中市,979836
2013,臺南市,820810
2013,高雄市,901951
2013,宜蘭縣,833681
2013,新竹縣,1131656
2013,苗栗縣,802373
2013,彰化縣,724511
2013,南投縣,731816
2013,雲林縣,656442
2013,嘉義縣,747545
2013,屏東縣,684676
2013,臺東縣,601166
2013,花蓮縣,730759
2013,澎湖縣,667038
2013,基隆市,880207
2013,新竹市,1355563
2013,嘉義市,1003287
2013,金門縣,770727
2013,連江縣,817642
2014,臺灣地區,956246
2014,新北市,960271
2014,臺北市,1297477
2014,桃園市,1060476
2014,臺中市,983209
2014,臺南市,836829
2014,高雄市,916933
2014,宜蘭縣,907028
2014,新竹縣,1181434
2014,苗栗縣,836317
2014,彰化縣,751577
2014,南投縣,698397
2014,雲林縣,653538
2014,嘉義縣,689122
2014,屏東縣,681122
2014,臺東縣,617046
2014,花蓮縣,692524
2014,澎湖縣,704959
2014,基隆市,845769
2014,新竹市,1367376
2014,嘉義市,925899
2014,金門縣,724527
2014,連江縣,751750
2015,臺灣地區,956246
2015,新北市,960271
2015,臺北市,1297477
2015,桃園市,1060476
2015,臺中市,983209
2015,臺南市,836829
2015,高雄市,916933
2015,宜蘭縣,907028
2015,新竹縣,1181434
2015,苗栗縣,836317
2015,彰化縣,751577
2015,南投縣,698397
2015,雲林縣,653538
2015,嘉義縣,689122
2015,屏東縣,681122
2015,臺東縣,617046
2015,花蓮縣,692524
2015,澎湖縣,704959
2015,基隆市,845769
2015,新竹市,1367376
2015,嘉義市,925899
2015,金門縣,724527
2015,連江縣,751750
2016,臺灣地區,956246
2016,新北市,960271
2016,臺北市,1297477
2016,桃園市,1060476
2016,臺中市,983209
2016,臺南市,836829
2016,高雄市,916933
2016,宜蘭縣,907028
2016,新竹縣,1181434
2016,苗栗縣,836317
2016,彰化縣,751577
2016,南投縣,698397
2016,雲林縣,653538
2016,嘉義縣,689122
2016,屏東縣,681122
2016,臺東縣,617046
2016,花蓮縣,692524
2016,澎湖縣,704959
2016,基隆市,845769
2016,新竹市,1367376
2016,嘉義市,925899
2016,金門縣,724527
2016,連江縣,751750
2017,臺灣地區,956246
2017,新北市,960271
2017,臺北市,1297477
2017,桃園市,1060476
2017,臺中市,983209
2017,臺南市,836829
2017,高雄市,916933
2017,宜蘭縣,907028
2017,新竹縣,1181434
2017,苗栗縣,836317
2017,彰化縣,751577
2017,南投縣,698397
2017,雲林縣,653538
2017,嘉義縣,689122
2017,屏東縣,681122
2017,臺東縣,617046
2017,花蓮縣,692524
2017,澎湖縣,704959
2017,基隆市,845769
2017,新竹市,1367376
2017,嘉義市,925899
2017,金門縣,724527
2017,連江縣,751750
2018,臺灣地區,1024086
2018,新北市,1043924
2018,臺北市,1352669
2018,桃園市,1150408
2018,臺中市,1079881
2018,臺南市,904532
2018,高雄市,1009320
2018,宜蘭縣,885269
2018,新竹縣,1281838
2018,苗栗縣,815640
2018,彰化縣,750972
2018,南投縣,742865
2018,雲林縣,690359
2018,嘉義縣,761471
2018,屏東縣,797070
2018,臺東縣,667520
2018,花蓮縣,762140
2018,澎湖縣,708464
2018,基隆市,922211
2018,新竹市,1221006
2018,嘉義市,898280
2018,金門縣,758455
2018,連江縣,891686
2019,臺灣地區,1043664
2019,新北市,1028484
2019,臺北市,1453122
2019,桃園市,1097938
2019,臺中市,1110432
2019,臺南市,889505
2019,高雄市,1052227
2019,宜蘭縣,943095
2019,新竹縣,1321844
2019,苗栗縣,812162
2019,彰化縣,792028
2019,南投縣,753096
2019,雲林縣,738345
2019,嘉義縣,702623
2019,屏東縣,780684
2019,臺東縣,653400
2019,花蓮縣,750948
2019,澎湖縣,758964
2019,基隆市,962967
2019,新竹市,1344274
2019,嘉義市,941869
2019,金門縣,699315
2019,連江縣,872751
2020,臺灣地區,1043664
2020,新北市,1028484
2020,臺北市,1453122
2020,桃園市,1097938
2020,臺中市,1110432
2020,臺南市,889505
2020,高雄市,1052227
2020,宜蘭縣,943095
2020,新竹縣,1321844
2020,苗栗縣,812162
2020,彰化縣,792028
2020,南投縣,753096
2020,雲林縣,738345
2020,嘉義縣,702623
2020,屏東縣,780684
2020,臺東縣,653400
2020,花蓮縣,750948
2020,澎湖縣,758964
2020,基隆市,962967
2020,新竹市,1344274
2020,嘉義市,941869
2020,金門縣,699315
2020,連江縣,872751
