year,city,ntd
2011,臺灣地區,907988
2011,新北市,927075
2011,臺北市,1251519
2011,桃園市,961998
2011,臺中市,915341
2011,臺南市,783223
2011,高雄市,856346
2011,宜蘭縣,721410
2011,新竹縣,1097918
2011,苗栗縣,833967
2011,彰化縣,772072
2011,南投縣,729037
2011,雲林縣,674055
2011,嘉義縣,687869
2011,屏東縣,710173
2011,臺東縣,607872
2011,花蓮縣,757041
2011,澎湖縣,673081
2011,基隆市,845677
2011,新竹市,1152707
2011,嘉義市,768315
2011,金門縣,876028
2011,連江縣,1067042
2012,臺灣地區,923584
2012,新北市,911915
2012,臺北市,1278278
2012,桃園市,1007045
2012,臺中市,886682
2012,臺南市,770078
2012,高雄市,894107
2012,宜蘭縣,892727
2012,新竹縣,1093853
2012,苗栗縣,826530
2012,彰化縣,792362
2012,南投縣,831790
2012,雲林縣,684977
2012,嘉義縣,747956
2012,屏東縣,736174
2012,臺東縣,670017
2012,花蓮縣,761611
2012,澎湖縣,727056
2012,基隆市,786441
2012,新竹市,1132620
2012,嘉義市,910601
2012,金門縣,891697
2012,連江縣,928816
2013,臺灣地區,942208
2013,新北市,931239
2013,臺北市,1279195
2013,桃園市,1027658
2013,臺中市,928938
2013,臺南市,830467
2013,高雄市,915255
2013,宜蘭縣,813875
2013,新竹縣,1073893
2013,苗栗縣,839394
2013,彰化縣,789742
2013,南投縣,748930
2013,雲林縣,704313
2013,嘉義縣,727426
2013,屏東縣,722101
2013,臺東縣,676390
2013,花蓮縣,790373
2013,澎湖縣,769955
2013,基隆市,841832
2013,新竹市,1224310
2013,嘉義市,1026305
2013,金門縣,991400
2013,連江縣,1053883
2014,臺灣地區,956849
2014,新北市,947670
2014,臺北市,1292604
2014,桃園市,1088867
2014,臺中市,955599
2014,臺南市,829957
2014,高雄市,917659
2014,宜蘭縣,902604
2014,新竹縣,1108941
2014,苗栗縣,913472
2014,彰化縣,783460
2014,南投縣,782566
2014,雲林縣,730035
2014,嘉義縣,667933
2014,屏東縣,699548
2014,臺東縣,697540
2014,花蓮縣,715443
2014,澎湖縣,771376
2014,基隆市,804007
2014,新竹市,1245600
2014,嘉義市,958377
2014,金門縣,883580
2014,連江縣,967197
2015,臺灣地區,964895
2015,新北市,959507
2015,臺北市,1314031
2015,桃園市,1073806
2015,臺中市,970157
2015,臺南市,837530
2015,高雄市,946918
2015,宜蘭縣,961095
2015,新竹縣,1026352
2015,苗栗縣,827540
2015,彰化縣,775465
2015,南投縣,738754
2015,雲林縣,732732
2015,嘉義縣,751058
2015,屏東縣,735650
2015,臺東縣,636162
2015,花蓮縣,768611
2015,澎湖縣,673239
2015,基隆市,896581
2015,新竹市,1136385
2015,嘉義市,917788
2015,金門縣,937155
2015,連江縣,1019259
2016,臺灣地區,993115
2016,新北市,1011072
2016,臺北市,1320834
2016,桃園市,1087073
2016,臺中市,949050
2016,臺南市,884524
2016,高雄市,964009
2016,宜蘭縣,906825
2016,新竹縣,1105002
2016,苗栗縣,962522
2016,彰化縣,838103
2016,南投縣,775270
2016,雲林縣,753126
2016,嘉義縣,768510
2016,屏東縣,761571
2016,臺東縣,674647
2016,花蓮縣,782381
2016,澎湖縣,896505
2016,基隆市,902459
2016,新竹市,1240355
2016,嘉義市,962456
2016,金門縣,857697
2016,連江縣,980000
2017,臺灣地區,1018941
2017,新北市,1046576
2017,臺北市,1344538
2017,桃園市,1105711
2017,臺中市,1033169
2017,臺南市,902536
2017,高雄市,985517
2017,宜蘭縣,901167
2017,新竹縣,1271770
2017,苗栗縣,853451
2017,彰化縣,816320
2017,南投縣,758388
2017,雲林縣,745074
2017,嘉義縣,769976
2017,屏東縣,801448
2017,臺東縣,752275
2017,花蓮縣,752426
2017,澎湖縣,724107
2017,基隆市,924561
2017,新竹市,1283253
2017,嘉義市,915716
2017,金門縣,949847
2017,連江縣,959721
2018,臺灣地區,1036304
2018,新北市,1069349
2018,臺北市,1379305
2018,桃園市,1129990
2018,臺中市,1065509
2018,臺南市,898912
2018,高雄市,1003178
2018,宜蘭縣,906350
2018,新竹縣,1183400
2018,苗栗縣,870498
2018,彰化縣,842573
2018,南投縣,817442
2018,雲林縣,726847
2018,嘉義縣,808597
2018,屏東縣,834508
2018,臺東縣,751292
2018,花蓮縣,789072
2018,澎湖縣,792436
2018,基隆市,896746
2018,新竹市,1161766
2018,嘉義市,967662
2018,金門縣,1020184
2018,連江縣,1018206
2019,臺灣地區,1036304
2019,新北市,1069349
2019,臺北市,1379305
2019,桃園市,1129990
2019,臺中市,1065509
2019,臺南市,898912
2019,高雄市,1003178
2019,宜蘭縣,906350
2019,新竹縣,1183400
2019,苗栗縣,870498
2019,彰化縣,842573
2019,南投縣,817442
2019,雲林縣,726847
2019,嘉義縣,808597
2019,屏東縣,834508
2019,臺東縣,751292
2019,花蓮縣,789072
2019,澎湖縣,792436
2019,基隆市,896746
2019,新竹市,1161766
2019,嘉義市,967662
2019,金門縣,1020184
2019,連江縣,1018206
2020,臺灣地區,1079648
2020,新北市,1134884
2020,臺北市,1422856
2020,桃園市,1182717
2020,臺中市,1082645
2020,臺南市,904141
2020,高雄市,1017796
2020,宜蘭縣,959374
2020,新竹縣,1294404
2020,苗栗縣,970239
2020,彰化縣,845399
2020,南投縣,845536
2020,雲林縣,830718
2020,嘉義縣,781236
2020,屏東縣,891979
2020,臺東縣,764655
2020,花蓮縣,873311
2020,澎湖縣,919475
2020,基隆市,946221
2020,新竹市,1294305
2020,嘉義市,1045590
2020,金門縣,973051
2020,連江縣,1103953
