year,city,ntd
2011,臺灣地區,729010
2011,新北市,745901
2011,臺北市,996646
2011,桃園市,822232
2011,臺中市,726320
2011,臺南市,630810
2011,高雄市,686354
2011,宜蘭縣,602332
2011,新竹縣,907729
2011,苗栗縣,656067
2011,彰化縣,579670
2011,南投縣,629379
2011,雲林縣,491428
2011,嘉義縣,520344
2011,屏東縣,558868
2011,臺東縣,435401
2011,花蓮縣,554335
2011,澎湖縣,486598
2011,基隆市,718329
2011,新竹市,982122
2011,嘉義市,616177
2011,金門縣,550263
2011,連江縣,648213
2012,臺灣地區,727693
2012,新北市,741651
2012,臺北市,973747
2012,桃園市,815889
2012,臺中市,717894
2012,臺南市,627337
2012,高雄市,694285
2012,宜蘭縣,698346
2012,新竹縣,898118
2012,苗栗縣,629119
2012,彰化縣,597253
2012,南投縣,648629
2012,雲林縣,487669
2012,嘉義縣,572225
2012,屏東縣,553602
2012,臺東縣,464577
2012,花蓮縣,566694
2012,澎湖縣,492419
2012,基隆市,660931
2012,新竹市,935237
2012,嘉義市,686120
2012,金門縣,542328
2012,連江縣,568563
2013,臺灣地區,747922
2013,新北市,750687
2013,臺北市,1001798
2013,桃園市,832626
2013,臺中市,781899
2013,臺南市,654843
2013,高雄市,709823
2013,宜蘭縣,668544
2013,新竹縣,858781
2013,苗栗縣,621582
2013,彰化縣,577658
2013,南投縣,584190
2013,雲林縣,522661
2013,嘉義縣,616718
2013,屏東縣,545713
2013,臺東縣,478531
2013,花蓮縣,554525
2013,澎湖縣,514077
2013,基隆市,719698
2013,新竹市,1044462
2013,嘉義市,788432
2013,金門縣,599588
2013,連江縣,599256
2014,臺灣地區,747922
2014,新北市,750687
2014,臺北市,1001798
2014,桃園市,832626
2014,臺中市,781899
2014,臺南市,654843
2014,高雄市,709823
2014,宜蘭縣,668544
2014,新竹縣,858781
2014,苗栗縣,621582
2014,彰化縣,577658
2014,南投縣,584190
2014,雲林縣,522661
2014,嘉義縣,616718
2014,屏東縣,545713
2014,臺東縣,478531
2014,花蓮縣,554525
2014,澎湖縣,514077
2014,基隆市,719698
2014,新竹市,1044462
2014,嘉義市,788432
2014,金門縣,599588
2014,連江縣,599256
2015,臺灣地區,747922
2015,新北市,750687
2015,臺北市,1001798
2015,桃園市,832626
2015,臺中市,781899
2015,臺南市,654843
2015,高雄市,709823
2015,宜蘭縣,668544
2015,新竹縣,858781
2015,苗栗縣,621582
2015,彰化縣,577658
2015,南投縣,584190
2015,雲林縣,522661
2015,嘉義縣,616718
2015,屏東縣,545713
2015,臺東縣,478531
2015,花蓮縣,554525
2015,澎湖縣,514077
2015,基隆市,719698
2015,新竹市,1044462
2015,嘉義市,788432
2015,金門縣,599588
2015,連江縣,599256
2016,臺灣地區,747922
2016,新北市,750687
2016,臺北市,1001798
2016,桃園市,832626
2016,臺中市,781899
2016,臺南市,654843
2016,高雄市,709823
2016,宜蘭縣,668544
2016,新竹縣,858781
2016,苗栗縣,621582
2016,彰化縣,577658
2016,南投縣,584190
2016,雲林縣,522661
2016,嘉義縣,616718
2016,屏東縣,545713
2016,臺東縣,478531
2016,花蓮縣,554525
2016,澎湖縣,514077
2016,基隆市,719698
2016,新竹市,1044462
2016,嘉義市,788432
2016,金門縣,599588
2016,連江縣,599256
2017,臺灣地區,747922
2017,新北市,750687
2017,臺北市,1001798
2017,桃園市,832626
2017,臺中市,781899
2017,臺南市,654843
2017,高雄市,709823
2017,宜蘭縣,668544
2017,新竹縣,858781
2017,苗栗縣,621582
2017,彰化縣,577658
2017,南投縣,584190
2017,雲林縣,522661
2017,嘉義縣,616718
2017,屏東縣,545713
2017,臺東縣,478531
2017,花蓮縣,554525
2017,澎湖縣,514077
2017,基隆市,719698
2017,新竹市,1044462
2017,嘉義市,788432
2017,金門縣,599588
2017,連江縣,599256
2018,臺灣地區,747922
2018,新北市,750687
2018,臺北市,1001798
2018,桃園市,832626
2018,臺中市,781899
2018,臺南市,654843
2018,高雄市,709823
2018,宜蘭縣,668544
2018,新竹縣,858781
2018,苗栗縣,621582
2018,彰化縣,577658
2018,南投縣,584190
2018,雲林縣,522661
2018,嘉義縣,616718
2018,屏東縣,545713
2018,臺東縣,478531
2018,花蓮縣,554525
2018,澎湖縣,514077
2018,基隆市,719698
2018,新竹市,1044462
2018,嘉義市,788432
2018,金門縣,599588
2018,連江縣,599256
2019,臺灣地區,747922
2019,新北市,750687
2019,臺北市,1001798
2019,桃園市,832626
2019,臺中市,781899
2019,臺南市,654843
2019,高雄市,709823
2019,宜蘭縣,668544
2019,新竹縣,858781
2019,苗栗縣,621582
2019,彰化縣,577658
2019,南投縣,584190
2019,雲林縣,522661
2019,嘉義縣,616718
2019,屏東縣,545713
2019,臺東縣,478531
2019,花蓮縣,554525
2019,澎湖縣,514077
2019,基隆市,719698
2019,新竹市,1044462
2019,嘉義市,788432
2019,金門縣,599588
2019,連江縣,599256
2020,臺灣地區,747922
2020,新北市,750687
2020,臺北市,1001798
2020,桃園市,832626
2020,臺中市,781899
2020,臺南市,654843
2020,高雄市,709823
2020,宜蘭縣,668544
2020,新竹縣,858781
2020,苗栗縣,621582
2020,彰化縣,577658
2020,南投縣,584190
2020,雲林縣,522661
2020,嘉義縣,616718
2020,屏東縣,545713
2020,臺東縣,478531
2020,花蓮縣,554525
2020,澎湖縣,514077
2020,基隆市,719698
2020,新竹市,1044462
2020,嘉義市,788432
2020,金門縣,599588
2020,連江縣,599256
