year,city,rate
2011,臺北市,81.94
2011,臺中市,81.3
2011,高雄市,83.54
2011,花蓮縣,82.6
2012,臺北市,83.57
2012,臺中市,81.14
2012,高雄市,85.32
2012,花蓮縣,81.13
2013,臺北市,81.91
2013,臺中市,83.44
2013,高雄市,84.68
2013,花蓮縣,83.38
2014,臺北市,81.46
2014,臺中市,79.14
2014,高雄市,84.41
2014,花蓮縣,83.53
2015,臺北市,82.54
2015,臺中市,78.48
2015,高雄市,84
2015,花蓮縣,82.62
2016,臺北市,84.16
2016,臺中市,78.28
2016,高雄市,86.16
2016,花蓮縣,84.92
2017,臺北市,83.69
2017,臺中市,80.65
2017,高雄市,84.16
2017,花蓮縣,80.69
2018,臺北市,83.4
2018,臺中市,78.91
2018,高雄市,84.44
2018,花蓮縣,84.96
2019,臺北市,84.02
2019,臺中市,80.26
2019,高雄市,84.63
2019,花蓮縣,85.48
2020,臺北市,83.8
2020,臺中市,80.68
2020,高雄市,84.04
2020,花蓮縣,77.46
