Year,City,NTD
2000, 臺北市,1265665
2000, 高雄市,876534
2000, 臺北縣,900943
2000, 宜蘭縣,732438
2000, 桃園縣,934796
2000, 新竹縣,880060
2000, 苗栗縣,710123
2000, 臺中縣,781695
2000, 彰化縣,687424
2000, 南投縣,702682
2000, 雲林縣,576592
2000, 嘉義縣,673336
2000, 臺南縣,663310
2000, 高雄縣,669060
2000, 屏東縣,671473
2000, 臺東縣,580010
2000, 花蓮縣,790242
2000, 澎湖縣,562543
2000, 基隆市,828877
2000, 新竹市,1096303
2000, 臺中市,869428
2000, 嘉義市,815902
2000, 臺南市,832916
2000, 金門縣,581992
2000, 連江縣,892256
2001, 臺北市,1243472
2001, 高雄市,877815
2001, 臺北縣,895289
2001, 宜蘭縣,698750
2001, 桃園縣,913451
2001, 新竹縣,827549
2001, 苗栗縣,763179
2001, 臺中縣,763851
2001, 彰化縣,661166
2001, 南投縣,640433
2001, 雲林縣,648161
2001, 嘉義縣,625882
2001, 臺南縣,644760
2001, 高雄縣,616099
2001, 屏東縣,658642
2001, 臺東縣,563319
2001, 花蓮縣,766813
2001, 澎湖縣,527270
2001, 基隆市,830424
2001, 新竹市,1168438
2001, 臺中市,962154
2001, 嘉義市,825002
2001, 臺南市,796112
2001, 金門縣,602112
2001, 連江縣,858357
2002, 臺北市,1234031
2002, 高雄市,826527
2002, 臺北縣,921856
2002, 宜蘭縣,707873
2002, 桃園縣,940836
2002, 新竹縣,837341
2002, 苗栗縣,767310
2002, 臺中縣,816803
2002, 彰化縣,731666
2002, 南投縣,657405
2002, 雲林縣,633376
2002, 嘉義縣,634807
2002, 臺南縣,666718
2002, 高雄縣,662630
2002, 屏東縣,672790
2002, 臺東縣,569271
2002, 花蓮縣,697356
2002, 澎湖縣,576410
2002, 基隆市,812320
2002, 新竹市,1141316
2002, 臺中市,869144
2002, 嘉義市,830112
2002, 臺南市,806099
2002, 金門縣,560208
2002, 連江縣,825746
2003, 臺北市,1183587
2003, 高雄市,851389
2003, 臺北縣,894412
2003, 宜蘭縣,774147
2003, 桃園縣,910690
2003, 新竹縣,869761
2003, 苗栗縣,767595
2003, 臺中縣,780877
2003, 彰化縣,745070
2003, 南投縣,670834
2003, 雲林縣,633355
2003, 嘉義縣,639730
2003, 臺南縣,678588
2003, 高雄縣,632872
2003, 屏東縣,694665
2003, 臺東縣,520396
2003, 花蓮縣,697152
2003, 澎湖縣,604755
2003, 基隆市,786195
2003, 新竹市,1110549
2003, 臺中市,914744
2003, 嘉義市,755150
2003, 臺南市,808229
2003, 金門縣,590966
2003, 連江縣,899264
2004, 臺北市,1188928
2004, 高雄市,858411
2004, 臺北縣,932337
2004, 宜蘭縣,710928
2004, 桃園縣,945783
2004, 新竹縣,928759
2004, 苗栗縣,754276
2004, 臺中縣,837331
2004, 彰化縣,761571
2004, 南投縣,707342
2004, 雲林縣,689369
2004, 嘉義縣,645923
2004, 臺南縣,737101
2004, 高雄縣,697412
2004, 屏東縣,663419
2004, 臺東縣,579731
2004, 花蓮縣,704628
2004, 澎湖縣,683573
2004, 基隆市,880826
2004, 新竹市,1186097
2004, 臺中市,921408
2004, 嘉義市,692942
2004, 臺南市,826332
2004, 金門縣,640943
2004, 連江縣,874484
2005, 臺北市,1215554
2005, 高雄市,921504
2005, 臺北縣,969764
2005, 宜蘭縣,818965
2005, 桃園縣,958799
2005, 新竹縣,1103190
2005, 苗栗縣,754518
2005, 臺中縣,806729
2005, 彰化縣,750332
2005, 南投縣,751767
2005, 雲林縣,609726
2005, 嘉義縣,658088
2005, 臺南縣,678453
2005, 高雄縣,700456
2005, 屏東縣,707198
2005, 臺東縣,502406
2005, 花蓮縣,665280
2005, 澎湖縣,606481
2005, 基隆市,889620
2005, 新竹市,1186544
2005, 臺中市,895714
2005, 嘉義市,786837
2005, 臺南市,759672
2005, 金門縣,604950
2005, 連江縣,885594
2006, 臺北市,1209167
2006, 高雄市,932091
2006, 臺北縣,943346
2006, 宜蘭縣,808988
2006, 桃園縣,929282
2006, 新竹縣,938184
2006, 苗栗縣,834168
2006, 臺中縣,835986
2006, 彰化縣,786345
2006, 南投縣,772713
2006, 雲林縣,710707
2006, 嘉義縣,684089
2006, 臺南縣,782046
2006, 高雄縣,682837
2006, 屏東縣,725935
2006, 臺東縣,573887
2006, 花蓮縣,655119
2006, 澎湖縣,666365
2006, 基隆市,836368
2006, 新竹市,1278669
2006, 臺中市,976632
2006, 嘉義市,762137
2006, 臺南市,826638
2006, 金門縣,634681
2006, 連江縣,882974
2007, 臺北市,1226043
2007, 高雄市,948179
2007, 臺北縣,937629
2007, 宜蘭縣,827815
2007, 桃園縣,953272
2007, 新竹縣,912095
2007, 苗栗縣,811168
2007, 臺中縣,843282
2007, 彰化縣,773061
2007, 南投縣,730885
2007, 雲林縣,632000
2007, 嘉義縣,644534
2007, 臺南縣,750404
2007, 高雄縣,662758
2007, 屏東縣,750363
2007, 臺東縣,658344
2007, 花蓮縣,720284
2007, 澎湖縣,619947
2007, 基隆市,800004
2007, 新竹市,1210559
2007, 臺中市,1015369
2007, 嘉義市,755368
2007, 臺南市,884817
2007, 金門縣,680703
2007, 連江縣,870197
2008, 臺北市,1228826
2008, 高雄市,935460
2008, 臺北縣,938428
2008, 宜蘭縣,788437
2008, 桃園縣,970927
2008, 新竹縣,1077571
2008, 苗栗縣,752578
2008, 臺中縣,840441
2008, 彰化縣,738661
2008, 南投縣,722234
2008, 雲林縣,582876
2008, 嘉義縣,632377
2008, 臺南縣,750765
2008, 高雄縣,682611
2008, 屏東縣,683678
2008, 臺東縣,538415
2008, 花蓮縣,686530
2008, 澎湖縣,674866
2008, 基隆市,803732
2008, 新竹市,1181660
2008, 臺中市,932082
2008, 嘉義市,720935
2008, 臺南市,880930
2008, 金門縣,676488
2008, 連江縣,839229
2009, 臺北市,1222206
2009, 高雄市,916649
2009, 臺北縣,937692
2009, 宜蘭縣,797722
2009, 桃園縣,947188
2009, 新竹縣,1139576
2009, 苗栗縣,777905
2009, 臺中縣,791021
2009, 彰化縣,730687
2009, 南投縣,820104
2009, 雲林縣,611251
2009, 嘉義縣,633812
2009, 臺南縣,731000
2009, 高雄縣,732893
2009, 屏東縣,697302
2009, 臺東縣,621618
2009, 花蓮縣,704449
2009, 澎湖縣,682478
2009, 基隆市,864592
2009, 新竹市,1249519
2009, 臺中市,907015
2009, 嘉義市,699494
2009, 臺南市,843658
2009, 金門縣,661118
2009, 連江縣,853040
2010, 臺北市,1254349
2010, 高雄市,935539
2010, 臺北縣,900119
2010, 宜蘭縣,821597
