 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55321.000000000  | P P |  -122.0128  -44.9706  -71.2686 |   |
 |   2 | 55321.000000000  | P P |    -3.0554    2.5560    0.1092 |   |
 |   3 | 55321.000000000  | P P |     1.9407   -4.2519    1.9476 |   |
 |   4 | 55321.000000000  | P P |    -4.4003    2.5943   -0.5033 |   |
 |   5 | 55321.000000000  | P P |    -0.5915    2.8543    3.0353 |   |
 |   6 | 55321.000000000  | P P |     3.4265   -2.3424    3.6084 |   |
 |   7 | 55321.000000000  | P P |    -1.7723   -1.6620    3.1958 |   |
 |   8 | 55321.000000000  | P P |    -5.7026    2.3235    0.6705 |   |
 |   9 | 55321.000000000  | P P |     0.7887    3.4714   -5.3777 |   |
 |  10 | 55321.000000000  | P P |    -3.7097    1.0954    2.9193 |   |
 |  11 | 55321.000000000  | P P |     0.0542   -4.4681   -3.9469 |   |
 |  12 | 55321.000000000  | P P |     2.4517    2.9168   -2.1763 |   |
 |  13 | 55321.000000000  | P P |    -2.0330   -4.0554    3.6034 |   |
 |  14 | 55321.000000000  | P P |     4.1944   -1.1258   -4.5630 |   |
 |  15 | 55321.000000000  | P P |    -0.1493    3.9838    0.4987 |   |
 |  17 | 55321.000000000  | P P |    -2.3471    0.2225   -3.4236 |   |
 |  18 | 55321.000000000  | P P |     4.9829    3.4225   -0.7253 |   |
 |  19 | 55321.000000000  | P P |     1.5160   -4.0382    0.6079 |   |
 |  20 | 55321.000000000  | P P |    -1.4979   -4.6841   -3.3876 |   |
 |  22 | 55321.000000000  | P P |     4.1950    0.2595   -2.2109 |   |
 |  23 | 55321.000000000  | P P |    -0.8163   -3.4798    2.6199 |   |
 |  24 | 55321.000000000  | P P |     4.6009    1.5677    2.4978 |   |
 |  26 | 55321.000000000  | P P |     0.8943    4.6796   -1.8697 |   |
 |  27 | 55321.000000000  | P P |    -2.5791    3.5902   -3.6978 |   |
 |  28 | 55321.000000000  | P P |    -4.6410   -1.4904   -2.8993 |   |
 |  29 | 55321.000000000  | P P |     1.5869    3.1908    1.9682 |   |
 |  30 | 55321.000000000  | P P |     3.4164    3.4077   -2.7355 |   |
 |  31 | 55321.000000000  | P P |     4.1094   -1.2663   -2.0790 |   |
 |  32 | 55321.000000000  | P P |    -0.2936   -4.2120   -3.2959 |   |
 |   1 | 55321.010416667  | P P |  -126.7777  -50.4481  -57.7811 |   |
 |   2 | 55321.010416667  | P P |    -3.2635    2.3888   -0.5146 |   |
 |   3 | 55321.010416667  | P P |     2.1785   -3.7202    2.4854 |   |
 |   4 | 55321.010416667  | P P |    -4.3697    2.2898   -1.2820 |   |
 |   5 | 55321.010416667  | P P |    -1.1198    2.4835    3.0363 |   |
 |   6 | 55321.010416667  | P P |     3.4731   -1.7125    3.9248 |   |
 |   7 | 55321.010416667  | P P |    -1.3167   -2.0048    3.4200 |   |
