 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17133.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17133.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 56238.000000000  | P P |   199.3779  197.9679  542.8763 |   |
 |   2 | 56238.000000000  | P P |   469.4844 -240.0432  120.9443 |   |
 |   3 | 56238.000000000  | P P |   -85.0441 -259.9825  535.0836 |   |
 |   4 | 56238.000000000  | P P |   533.6351   43.4321  206.6647 |   |
 |   5 | 56238.000000000  | P P |   514.4377 -482.7228  474.5509 |   |
 |   6 | 56238.000000000  | P P |  -144.9003 -312.1327  442.6283 |   |
 |   8 | 56238.000000000  | P P |   331.4131 -268.8562  802.1321 |   |
 |   9 | 56238.000000000  | P P |   248.5424 -633.7145  251.6364 |   |
 |  10 | 56238.000000000  | P P |   620.7751 -112.1865  372.3514 |   |
 |  11 | 56238.000000000  | P P |   179.1979   91.3875  635.6673 |   |
 |  12 | 56238.000000000  | P P |   381.2471 -262.9170   33.3357 |   |
 |  13 | 56238.000000000  | P P |   483.6878  201.1764  489.8804 |   |
 |  14 | 56238.000000000  | P P |  -116.6365 -297.3533   -9.2946 |   |
 |  15 | 56238.000000000  | P P |   186.7267 -654.5363  534.5534 |   |
 |  16 | 56238.000000000  | P P |  -132.5505  -24.2672  335.3408 |   |
 |  17 | 56238.000000000  | P P |   599.1561   23.8557  535.2186 |   |
 |  18 | 56238.000000000  | P P |   -74.2540 -562.3465  427.3888 |   |
 |  19 | 56238.000000000  | P P |    38.5594 -212.4653  672.3084 |   |
 |  20 | 56238.000000000  | P P |   234.8954  284.3861  209.4404 |   |
 |  21 | 56238.000000000  | P P |   -15.0322 -635.0127  326.9902 |   |
 |  22 | 56238.000000000  | P P |  -178.9422 -328.2185  339.3219 |   |
 |  23 | 56238.000000000  | P P |   350.8780  275.8597  274.5769 |   |
 |  24 | 56238.000000000  | P P | -9875.9409-2221.8663********** |   |
 |  25 | 56238.000000000  | P P |   189.8244 -166.6983  -91.7377 |   |
 |  26 | 56238.000000000  | P P |   363.6436 -507.6002  693.8152 |   |
 |  27 | 56238.000000000  | P P |    20.8912   36.9671  115.3868 |   |
 |  28 | 56238.000000000  | P P |   470.3387 -336.7706  762.8710 |   |
 |  29 | 56238.000000000  | P P |    39.9123 -360.9773  -60.9752 |   |
 |  30 | 56238.000000000  | P P |  -113.8149   37.5228  130.6390 |   |
 |  31 | 56238.000000000  | P P |    71.1176   83.0399  -34.6969 |   |
 |  32 | 56238.000000000  | P P |    49.5951  210.4012  172.4598 |   |
 |   1 | 56238.010416667  | P P |   184.9997  164.1047  576.0493 |   |
 |   2 | 56238.010416667  | P P |   479.0286 -192.2571  119.1981 |   |
 |   3 | 56238.010416667  | P P |  -111.1443 -260.9923  494.2733 |   |
 |   4 | 56238.010416667  | P P |   532.8347   77.2988  227.5034 |   |
 |   5 | 56238.010416667  | P P |   531.6660 -452.8247  442.3268 |   |
 |   6 | 56238.010416667  | P P |  -163.2529 -308.6863  398.9078 |   |
