%% ======================== Satellite's State Using Keplerian Motion and J2 Effect ======================== %%
Hour	     X	                 Y	                 Z	             X_dot	         Y_dot	        Z_dot
  0	  20952940.878790	  11599221.878543	  11802653.335192	 -2338.531578	  1501.603086	  2669.762447
  1	  10128857.889858	  15223727.144732	  19417297.326559	 -3538.637315	   465.689066	  1463.740509
  2	  -3388553.101359	  14795722.053068	  21861511.257962	 -3799.652629	  -699.278732	  -138.601336
  3	 -15993904.238793	  10406098.280988	  18450068.083017	 -3041.006544	 -1684.587700	 -1715.147607
  4	 -24278169.922509	   3209905.861881	  10059966.482197	 -1452.451180	 -2221.168891	 -2839.231616
  5	 -25959081.349076	  -4856745.764924	  -1063121.475649	   542.128770	 -2155.514094	 -3196.119196
  6	 -20547066.562738	 -11595217.868701	 -11894037.525862	  2394.358458	 -1500.216065	 -2679.887365
  7	  -9514981.317714	 -15162728.499624	 -19471905.892975	  3590.402164	  -435.928770	 -1432.153214
  8	   4114115.810762	 -14596930.942768	 -21741556.308450	  3804.704197	   741.627858	   198.797916
  9	  16633416.533145	 -10076054.729118	 -18120303.873665	  2990.763269	  1710.595829	  1764.375224
 10	  24685445.540467	  -2844533.702266	  -9625139.428034	  1381.958827	  2214.143503	  2845.553759
 11	  26150117.938958	   5148425.784123	   1442357.932854	  -585.223663	  2125.235796	  3162.613656
 12	  20666913.952363	  11774554.356774	  12128081.316012	 -2391.460349	  1472.390485	  2639.036543
 13	   9698594.560184	  15275171.707061	  19593678.372245	 -3564.015115	   427.608809	  1413.500269
 14	  -3848854.988141	  14708957.164044	  21841067.640173	 -3790.510776	  -736.241478	  -195.245887
 15	 -16360689.165755	  10203437.289103	  18236897.737512	 -2999.299203	 -1710.501661	 -1763.088695
 16	 -24451308.718847	   2945339.472404	   9710352.072346	 -1389.035059	 -2228.795528	 -2865.265304
 17	 -25890149.360066	  -5111472.872789	  -1454677.359416	   610.019907	 -2142.515531	 -3192.785639
 18	 -20254213.883836	 -11770418.881376	 -12220559.260881	  2447.900806	 -1470.080726	 -2647.942884
 19	  -9078473.527371	 -15210655.156123	 -19644276.060403	  3614.806656	  -397.045803	 -1380.514108
 20	   4574938.066276	 -14505203.426653	 -21713675.072739	  3793.570032	   778.511586	   255.783417
 21	  16994044.520501	  -9870451.856637	 -17901123.494843	  2947.608925	  1735.544196	  1811.233785
 22	  24850063.240698	  -2580988.461074	  -9274788.110664	  1318.749705	  2220.697348	  2869.961349
 23	  26076058.561105	   5399405.528119	   1829830.109351	  -651.622166	  2111.890294	  3158.409373
 24	  20374501.372570	  11946376.185661	  12449691.500536	 -2443.658291	  1442.748736	  2607.478704
