%% =============================== Satellite's State Using Keplerian Motion =============================== %%
Hour	     X	                 Y	                 Z	             X_dot	         Y_dot	        Z_dot
  0	  20952940.878790	  11599221.878543	  11802653.335192	 -2338.531578	  1501.603086	  2669.762447
  1	  10128755.456705	  15223638.028667	  19417555.910323	 -3538.712343	   465.612142	  1463.862717
  2	  -3389022.722734	  14795027.058860	  21862193.474835	 -3799.748988	  -699.540373	  -138.507395
  3	 -15994465.793583	  10404275.410703	  18451014.520770	 -3040.946841	 -1684.913971	 -1715.074344
  4	 -24278342.977836	   3207149.437137	  10061333.908474	 -1452.342553	 -2221.332311	 -2839.063149
  5	 -25959236.724777	  -4859687.804216	  -1061110.533889	   541.994005	 -2155.464980	 -3195.977508
  6	 -20548208.076630	 -11597748.450951	 -11892045.110635	  2393.981323	 -1500.050711	 -2680.083740
  7	  -9517477.551517	 -15164499.236908	 -19471414.206531	  3590.076438	  -435.665426	 -1432.773212
  8	   4110841.765687	 -14597531.416904	 -21743758.732956	  3804.606506	   742.009664	   197.965855
  9	  16630222.037900	 -10075211.077576	 -18125522.194225	  2990.908811	  1710.987963	  1763.564440
 10	  24683310.731768	  -2842499.512122	  -9632929.067546	  1382.417902	  2214.396022	  2844.979728
 11	  26150237.251827	   5151056.451781	   1433393.145040	  -584.455290	  2125.318581	  3162.590735
 12	  20669922.243541	  11777194.150351	  12120400.584617	 -2390.697495	  1472.305431	  2639.779690
 13	   9703717.832485	  15277071.876668	  19589829.468969	 -3563.647486	   427.263922	  1414.819139
 14	  -3843263.780009	  14709065.318961	  21842305.904555	 -3790.596531	  -736.877691	  -193.815281
 15	 -16355964.361358	  10201036.270515	  18242937.182798	 -2999.673467	 -1711.202645	 -1761.889240
 16	 -24448424.246910	   2940806.985997	   9720006.953394	 -1389.703746	 -2229.235565	 -2864.492266
 17	 -25890357.378068	  -5116902.436330	  -1443440.965649	   608.977055	 -2142.576494	 -3192.741939
 18	 -20258516.514631	 -11775479.639508	 -12210957.064297	  2446.747514	 -1469.827357	 -2648.916734
 19	  -9086349.243443	 -15214300.627201	 -19639885.122417	  3614.052516	  -396.514129	 -1382.367733
 20	   4565547.296105	 -14506491.025523	 -21716734.561862	  3793.498975	   779.268784	   253.604197
 21	  16985646.821926	  -9868908.714889	 -17911704.016080	  2948.223414	  1736.313011	  1809.324508
 22	  24845035.249579	  -2577051.547585	  -9290988.449045	  1319.993385	  2221.226727	  2868.831066
 23	  26076363.656087	   5404641.572364	   1811677.278097	  -649.968104	  2112.077566	  3158.520141
 24	  20380702.711453	  11951633.308712	  12434511.759696	 -2442.148317	  1442.564889	  2609.003773
