%% === Satellite's Position === %%
Hour	   latitude	    longitude
  1	    41.321774	    46.719607
  2	  -107.182574	    55.227145
  3	   -78.172397	    44.036609
  4	   -67.695870	    22.332261
  5	   -64.608244	    -2.305212
  6	   -60.809289	   -26.754206
  7	   -47.396740	   -47.407028
  8	   165.411849	   -55.102640
  9	  -166.575901	   -42.976991
 10	  -156.983939	   -21.173794
 11	  -154.313813	     3.097709
 12	  -150.821354	    27.016522
 13	  -137.946371	    47.278693
 14	    74.088731	    55.157140
 15	   102.434034	    43.404928
 16	   112.474327	    21.518324
 17	   115.470098	    -3.155093
 18	   119.423138	   -27.549573
 19	   133.388881	   -47.957943
 20	   -13.316074	   -54.990281
 21	    13.988792	   -42.329753
 22	    23.166909	   -20.366588
 23	    25.754015	     3.930910
 24	    29.399178	    27.794380

%% == Satellite's Information == %%
Maximum latitude = 55.289208
Satellite's Revolution = 1.99
