Point ID,X (ECEF),Y (ECEF),Z (ECEF)
AUTO0002,-2956584.481,5075878.987,2476667.608
AUTO0003,-2956584.477,5075878.983,2476667.601
AUTO0004,-2956584.484,5075878.99,2476667.608
AUTO0005,-2956584.486,5075878.988,2476667.61
AUTO0006,-2956584.478,5075878.986,2476667.613
AUTO0007,-2956584.477,5075878.986,2476667.609
AUTO0008,-2956584.479,5075878.989,2476667.612
AUTO0009,-2956584.478,5075878.984,2476667.612
AUTO0010,-2956584.476,5075878.987,2476667.609
AUTO0011,-2956584.481,5075878.992,2476667.612
AUTO0012,-2956584.484,5075878.993,2476667.615
AUTO0013,-2956584.48,5075878.986,2476667.611
AUTO0014,-2956584.478,5075878.987,2476667.607
AUTO0015,-2956584.48,5075878.988,2476667.611
AUTO0016,-2956584.482,5075878.994,2476667.609
AUTO0017,-2956584.481,5075878.99,2476667.612
AUTO0018,-2956584.482,5075878.991,2476667.612
AUTO0019,-2956584.483,5075878.991,2476667.61
AUTO0020,-2956584.481,5075878.989,2476667.608
AUTO0021,-2956584.485,5075878.998,2476667.611
AUTO0022,-2956584.482,5075878.992,2476667.609
AUTO0023,-2956584.486,5075878.988,2476667.609
AUTO0024,-2956584.484,5075878.991,2476667.61
AUTO0025,-2956584.482,5075878.991,2476667.607
AUTO0026,-2956584.487,5075878.989,2476667.606
AUTO0027,-2956584.488,5075878.992,2476667.61
AUTO0028,-2956584.484,5075878.992,2476667.609
AUTO0029,-2956584.488,5075878.989,2476667.609
AUTO0030,-2956584.48,5075878.983,2476667.603
AUTO0031,-2956584.483,5075878.988,2476667.606
AUTO0032,-2956584.485,5075878.991,2476667.609
AUTO0033,-2956584.482,5075878.989,2476667.607
AUTO0034,-2956584.483,5075878.985,2476667.61
AUTO0035,-2956584.487,5075878.989,2476667.61
AUTO0036,-2956584.484,5075878.987,2476667.611
AUTO0037,-2956584.482,5075878.984,2476667.607
AUTO0038,-2956584.482,5075878.982,2476667.609
AUTO0039,-2956584.477,5075878.979,2476667.607
AUTO0040,-2956584.487,5075878.987,2476667.611
AUTO0041,-2956584.483,5075878.982,2476667.609
AUTO0042,-2956584.482,5075878.984,2476667.608
AUTO0043,-2956584.485,5075878.987,2476667.609
AUTO0044,-2956584.485,5075878.986,2476667.612
AUTO0045,-2956584.484,5075878.981,2476667.605
AUTO0046,-2956584.483,5075878.98,2476667.604
AUTO0047,-2956584.484,5075878.982,2476667.606
AUTO0048,-2956584.477,5075878.981,2476667.604
AUTO0049,-2956584.482,5075878.982,2476667.607
AUTO0050,-2956584.48,5075878.98,2476667.606
AUTO0051,-2956584.477,5075878.977,2476667.605
AUTO0052,-2956584.482,5075878.98,2476667.606
AUTO0053,-2956584.476,5075878.981,2476667.604
AUTO0054,-2956584.48,5075878.982,2476667.607
AUTO0055,-2956584.482,5075878.988,2476667.605
AUTO0056,-2956584.483,5075878.983,2476667.605
AUTO0057,-2956584.475,5075878.977,2476667.602
AUTO0058,-2956584.482,5075878.982,2476667.604
AUTO0059,-2956584.477,5075878.982,2476667.6
AUTO0060,-2956584.477,5075878.983,2476667.602
AUTO0061,-2956584.482,5075878.988,2476667.603
AUTO0062,-2956584.484,5075878.983,2476667.606
AUTO0063,-2956584.485,5075878.991,2476667.61
AUTO0064,-2956584.481,5075878.987,2476667.611
AUTO0065,-2956584.483,5075878.985,2476667.608
AUTO0066,-2956584.484,5075878.988,2476667.615
AUTO0067,-2956584.486,5075878.99,2476667.609
AUTO0068,-2956584.482,5075878.985,2476667.607
AUTO0069,-2956584.487,5075878.987,2476667.608
AUTO0070,-2956584.487,5075878.99,2476667.609
AUTO0071,-2956584.482,5075878.989,2476667.606
AUTO0072,-2956584.488,5075878.994,2476667.611
AUTO0073,-2956584.491,5075878.993,2476667.612
AUTO0074,-2956584.487,5075878.988,2476667.61
AUTO0075,-2956584.484,5075878.985,2476667.606
AUTO0076,-2956584.489,5075878.99,2476667.609
AUTO0077,-2956584.49,5075878.995,2476667.612
AUTO0078,-2956584.488,5075878.995,2476667.612
AUTO0079,-2956584.485,5075878.988,2476667.608
AUTO0080,-2956584.484,5075878.99,2476667.604
AUTO0081,-2956584.488,5075878.993,2476667.611
AUTO0082,-2956584.484,5075878.989,2476667.604
AUTO0083,-2956584.483,5075878.993,2476667.605
AUTO0084,-2956584.485,5075878.989,2476667.603
AUTO0085,-2956584.484,5075878.988,2476667.605
AUTO0086,-2956584.488,5075878.991,2476667.608
AUTO0087,-2956584.486,5075878.986,2476667.607
AUTO0088,-2956584.482,5075878.988,2476667.603
AUTO0089,-2956584.48,5075878.98,2476667.599
AUTO0090,-2956584.48,5075878.987,2476667.603
AUTO0091,-2956584.483,5075878.989,2476667.601
AUTO0092,-2956584.478,5075878.986,2476667.603
AUTO0093,-2956584.482,5075878.989,2476667.6
AUTO0094,-2956584.484,5075878.99,2476667.604
AUTO0095,-2956584.482,5075878.985,2476667.601
AUTO0096,-2956584.478,5075878.986,2476667.599
AUTO0097,-2956584.481,5075878.984,2476667.6
AUTO0098,-2956584.479,5075878.982,2476667.597
AUTO0099,-2956584.481,5075878.983,2476667.598
AUTO0100,-2956584.484,5075878.987,2476667.602
AUTO0101,-2956584.483,5075878.986,2476667.603
AUTO0102,-2956584.484,5075878.988,2476667.601
AUTO0103,-2956584.479,5075878.983,2476667.599
AUTO0104,-2956584.483,5075878.988,2476667.604
AUTO0105,-2956584.478,5075878.982,2476667.596
AUTO0106,-2956584.479,5075878.986,2476667.601
AUTO0107,-2956584.484,5075878.989,2476667.602
AUTO0108,-2956584.479,5075878.985,2476667.606
AUTO0109,-2956584.48,5075878.984,2476667.602
AUTO0110,-2956584.485,5075878.985,2476667.6
AUTO0111,-2956584.484,5075878.988,2476667.604
AUTO0112,-2956584.481,5075878.982,2476667.604
AUTO0113,-2956584.478,5075878.986,2476667.601
AUTO0114,-2956584.477,5075878.983,2476667.602
AUTO0115,-2956584.48,5075878.987,2476667.601
AUTO0116,-2956584.479,5075878.981,2476667.599
AUTO0117,-2956584.481,5075878.99,2476667.605
AUTO0118,-2956584.478,5075878.984,2476667.605
AUTO0119,-2956584.477,5075878.986,2476667.603
AUTO0120,-2956584.475,5075878.981,2476667.603
AUTO0121,-2956584.477,5075878.985,2476667.602
AUTO0122,-2956584.482,5075878.987,2476667.605
AUTO0123,-2956584.478,5075878.987,2476667.602
AUTO0124,-2956584.482,5075878.986,2476667.599
AUTO0125,-2956584.481,5075878.988,2476667.603
AUTO0126,-2956584.483,5075878.987,2476667.603
AUTO0127,-2956584.479,5075878.986,2476667.6
AUTO0128,-2956584.482,5075878.987,2476667.6
AUTO0129,-2956584.483,5075878.989,2476667.603
AUTO0130,-2956584.485,5075878.989,2476667.603
AUTO0131,-2956584.482,5075878.989,2476667.603
AUTO0132,-2956584.485,5075878.992,2476667.604
AUTO0133,-2956584.485,5075878.99,2476667.607
AUTO0134,-2956584.484,5075878.992,2476667.604
AUTO0135,-2956584.485,5075878.991,2476667.605
AUTO0136,-2956584.483,5075878.99,2476667.603
AUTO0137,-2956584.486,5075878.992,2476667.604
AUTO0138,-2956584.486,5075878.992,2476667.603
AUTO0139,-2956584.478,5075878.986,2476667.6
AUTO0140,-2956584.482,5075878.99,2476667.602
AUTO0141,-2956584.479,5075878.984,2476667.603
AUTO0142,-2956584.485,5075878.992,2476667.607
AUTO0143,-2956584.481,5075878.989,2476667.605
AUTO0144,-2956584.484,5075878.99,2476667.607
AUTO0145,-2956584.484,5075878.991,2476667.604
AUTO0146,-2956584.48,5075878.986,2476667.602
AUTO0147,-2956584.482,5075878.987,2476667.604
AUTO0148,-2956584.481,5075878.985,2476667.599
AUTO0149,-2956584.479,5075878.985,2476667.601
AUTO0150,-2956584.483,5075878.987,2476667.605
AUTO0151,-2956584.481,5075878.99,2476667.602
AUTO0152,-2956584.486,5075878.993,2476667.607
AUTO0153,-2956584.483,5075878.991,2476667.603
AUTO0154,-2956584.486,5075878.991,2476667.603
AUTO0155,-2956584.484,5075878.994,2476667.603
AUTO0156,-2956584.484,5075878.993,2476667.605
AUTO0157,-2956584.477,5075878.992,2476667.604
AUTO0158,-2956584.488,5075878.992,2476667.607
AUTO0159,-2956584.487,5075878.994,2476667.607
AUTO0160,-2956584.485,5075878.995,2476667.605
AUTO0161,-2956584.483,5075878.989,2476667.605
AUTO0162,-2956584.482,5075878.998,2476667.608
AUTO0163,-2956584.485,5075878.997,2476667.609
AUTO0164,-2956584.484,5075878.998,2476667.607
AUTO0165,-2956584.484,5075878.993,2476667.606
AUTO0166,-2956584.482,5075878.995,2476667.607
AUTO0167,-2956584.482,5075878.99,2476667.608
AUTO0168,-2956584.485,5075878.994,2476667.611
AUTO0169,-2956584.478,5075878.992,2476667.607
AUTO0170,-2956584.488,5075878.993,2476667.61
AUTO0171,-2956584.486,5075878.994,2476667.609
AUTO0172,-2956584.483,5075878.988,2476667.61
AUTO0173,-2956584.483,5075878.993,2476667.61
AUTO0174,-2956584.486,5075878.994,2476667.612
AUTO0175,-2956584.486,5075878.995,2476667.611
AUTO0176,-2956584.49,5075878.995,2476667.611
AUTO0177,-2956584.491,5075878.997,2476667.613
AUTO0178,-2956584.488,5075878.993,2476667.606
AUTO0179,-2956584.49,5075878.993,2476667.609
AUTO0180,-2956584.489,5075878.999,2476667.608
AUTO0181,-2956584.485,5075878.994,2476667.609
AUTO0182,-2956584.486,5075878.994,2476667.609
AUTO0183,-2956584.486,5075878.994,2476667.609
AUTO0184,-2956584.486,5075878.995,2476667.611
AUTO0185,-2956584.488,5075878.994,2476667.609
AUTO0186,-2956584.485,5075878.993,2476667.608
AUTO0187,-2956584.487,5075878.995,2476667.609
AUTO0188,-2956584.484,5075878.993,2476667.614
AUTO0189,-2956584.487,5075878.997,2476667.612
AUTO0190,-2956584.485,5075878.996,2476667.612
AUTO0191,-2956584.487,5075878.995,2476667.612
AUTO0192,-2956584.487,5075878.995,2476667.612
AUTO0193,-2956584.483,5075878.996,2476667.606
AUTO0194,-2956584.488,5075878.997,2476667.617
AUTO0195,-2956584.487,5075878.995,2476667.611
AUTO0196,-2956584.487,5075878.993,2476667.612
AUTO0197,-2956584.488,5075879,2476667.617
AUTO0198,-2956584.483,5075878.991,2476667.609
AUTO0199,-2956584.485,5075878.991,2476667.609
AUTO0200,-2956584.493,5075879.002,2476667.62
AUTO0201,-2956584.491,5075878.998,2476667.614
AUTO0202,-2956584.485,5075878.994,2476667.61
AUTO0203,-2956584.488,5075878.996,2476667.614
AUTO0204,-2956584.491,5075878.995,2476667.616
AUTO0205,-2956584.487,5075878.995,2476667.61
AUTO0206,-2956584.487,5075878.993,2476667.609
AUTO0207,-2956584.489,5075878.997,2476667.613
AUTO0208,-2956584.482,5075878.991,2476667.608
AUTO0209,-2956584.491,5075878.998,2476667.611
AUTO0210,-2956584.49,5075878.998,2476667.613
AUTO0211,-2956584.489,5075878.995,2476667.613
AUTO0212,-2956584.484,5075878.994,2476667.61
AUTO0213,-2956584.487,5075878.996,2476667.611
AUTO0214,-2956584.491,5075879,2476667.611
AUTO0215,-2956584.487,5075878.999,2476667.612
AUTO0216,-2956584.484,5075878.996,2476667.61
AUTO0217,-2956584.484,5075878.991,2476667.61
AUTO0218,-2956584.489,5075878.996,2476667.61
AUTO0219,-2956584.487,5075879,2476667.618
AUTO0220,-2956584.485,5075878.994,2476667.612
AUTO0221,-2956584.486,5075878.998,2476667.61
AUTO0222,-2956584.482,5075878.993,2476667.609
AUTO0223,-2956584.483,5075878.993,2476667.611
AUTO0224,-2956584.48,5075878.993,2476667.609
AUTO0225,-2956584.477,5075878.984,2476667.608
AUTO0226,-2956584.48,5075878.994,2476667.612
AUTO0227,-2956584.479,5075878.987,2476667.609
AUTO0228,-2956584.482,5075878.993,2476667.612
AUTO0229,-2956584.479,5075878.989,2476667.61
AUTO0230,-2956584.488,5075878.996,2476667.611
AUTO0231,-2956584.481,5075878.992,2476667.611
AUTO0232,-2956584.483,5075878.993,2476667.61
AUTO0233,-2956584.484,5075878.994,2476667.609
AUTO0234,-2956584.481,5075878.993,2476667.611
AUTO0235,-2956584.481,5075878.993,2476667.614
AUTO0236,-2956584.485,5075878.998,2476667.612
AUTO0237,-2956584.486,5075878.991,2476667.607
AUTO0238,-2956584.48,5075878.986,2476667.604
AUTO0239,-2956584.48,5075878.991,2476667.608
AUTO0240,-2956584.481,5075878.988,2476667.606
AUTO0241,-2956584.481,5075878.993,2476667.609
AUTO0242,-2956584.484,5075878.992,2476667.612
AUTO0243,-2956584.48,5075878.987,2476667.607
AUTO0244,-2956584.485,5075878.992,2476667.61
AUTO0245,-2956584.48,5075878.989,2476667.605
AUTO0246,-2956584.48,5075878.987,2476667.607
AUTO0247,-2956584.481,5075878.983,2476667.608
AUTO0248,-2956584.483,5075878.988,2476667.608
AUTO0249,-2956584.483,5075878.989,2476667.606
AUTO0250,-2956584.484,5075878.986,2476667.607
AUTO0251,-2956584.485,5075878.992,2476667.607
AUTO0252,-2956584.481,5075878.986,2476667.606
AUTO0253,-2956584.479,5075878.987,2476667.603
AUTO0254,-2956584.483,5075878.986,2476667.605
AUTO0255,-2956584.484,5075878.988,2476667.606
AUTO0256,-2956584.481,5075878.986,2476667.607
AUTO0257,-2956584.481,5075878.988,2476667.61
AUTO0258,-2956584.48,5075878.986,2476667.604
AUTO0259,-2956584.483,5075878.99,2476667.608
AUTO0260,-2956584.478,5075878.985,2476667.604
AUTO0261,-2956584.48,5075878.987,2476667.604
AUTO0262,-2956584.478,5075878.985,2476667.601
AUTO0263,-2956584.481,5075878.989,2476667.607
AUTO0264,-2956584.482,5075878.988,2476667.606
AUTO0265,-2956584.48,5075878.987,2476667.604
AUTO0266,-2956584.481,5075878.99,2476667.607
AUTO0267,-2956584.48,5075878.993,2476667.606
AUTO0268,-2956584.483,5075878.99,2476667.604
AUTO0269,-2956584.477,5075878.984,2476667.603
AUTO0270,-2956584.482,5075878.99,2476667.607
AUTO0271,-2956584.48,5075878.985,2476667.605
AUTO0272,-2956584.479,5075878.99,2476667.607
AUTO0273,-2956584.479,5075878.984,2476667.606
AUTO0274,-2956584.483,5075878.992,2476667.608
AUTO0275,-2956584.482,5075878.986,2476667.609
AUTO0276,-2956584.481,5075878.987,2476667.608
AUTO0277,-2956584.48,5075878.986,2476667.606
AUTO0278,-2956584.48,5075878.984,2476667.606
AUTO0279,-2956584.483,5075878.989,2476667.608
AUTO0280,-2956584.48,5075878.984,2476667.61
AUTO0281,-2956584.486,5075878.987,2476667.612
AUTO0282,-2956584.483,5075878.988,2476667.609
AUTO0283,-2956584.485,5075878.991,2476667.61
AUTO0284,-2956584.482,5075878.987,2476667.607
AUTO0285,-2956584.477,5075878.982,2476667.607
AUTO0286,-2956584.48,5075878.981,2476667.603
AUTO0287,-2956584.482,5075878.985,2476667.606
AUTO0288,-2956584.481,5075878.983,2476667.608
AUTO0289,-2956584.484,5075878.988,2476667.608
AUTO0290,-2956584.483,5075878.987,2476667.611
AUTO0291,-2956584.482,5075878.986,2476667.609
AUTO0292,-2956584.478,5075878.982,2476667.61
AUTO0293,-2956584.481,5075878.987,2476667.611
AUTO0294,-2956584.485,5075878.984,2476667.612
AUTO0295,-2956584.482,5075878.989,2476667.61
AUTO0296,-2956584.483,5075878.988,2476667.612
AUTO0297,-2956584.481,5075878.984,2476667.607
AUTO0298,-2956584.486,5075878.986,2476667.611
AUTO0299,-2956584.478,5075878.985,2476667.604
AUTO0300,-2956584.479,5075878.981,2476667.607
AUTO0301,-2956584.486,5075878.986,2476667.607
AUTO0302,-2956584.478,5075878.981,2476667.606
AUTO0303,-2956584.485,5075878.99,2476667.611
AUTO0304,-2956584.487,5075878.989,2476667.612
AUTO0305,-2956584.483,5075878.985,2476667.608
AUTO0306,-2956584.483,5075878.987,2476667.609
AUTO0307,-2956584.488,5075878.986,2476667.612
AUTO0308,-2956584.486,5075878.989,2476667.612
AUTO0309,-2956584.484,5075878.987,2476667.611
AUTO0310,-2956584.483,5075878.986,2476667.609
AUTO0311,-2956584.481,5075878.984,2476667.609
AUTO0312,-2956584.48,5075878.985,2476667.606
AUTO0313,-2956584.481,5075878.985,2476667.608
AUTO0314,-2956584.476,5075878.981,2476667.605
AUTO0315,-2956584.482,5075878.986,2476667.611
AUTO0316,-2956584.478,5075878.983,2476667.607
AUTO0317,-2956584.479,5075878.987,2476667.608
AUTO0318,-2956584.482,5075878.989,2476667.611
AUTO0319,-2956584.48,5075878.985,2476667.607
AUTO0320,-2956584.482,5075878.99,2476667.611
AUTO0321,-2956584.479,5075878.989,2476667.61
AUTO0322,-2956584.481,5075878.987,2476667.608
AUTO0323,-2956584.478,5075878.981,2476667.607
AUTO0324,-2956584.481,5075878.984,2476667.609
AUTO0325,-2956584.487,5075878.991,2476667.613
AUTO0326,-2956584.484,5075878.985,2476667.61
AUTO0327,-2956584.479,5075878.984,2476667.608
AUTO0328,-2956584.483,5075878.988,2476667.609
AUTO0329,-2956584.486,5075878.988,2476667.614
AUTO0330,-2956584.475,5075878.981,2476667.605
AUTO0331,-2956584.482,5075878.984,2476667.61
AUTO0332,-2956584.478,5075878.981,2476667.605
AUTO0333,-2956584.483,5075878.986,2476667.61
AUTO0334,-2956584.482,5075878.986,2476667.609
AUTO0335,-2956584.478,5075878.979,2476667.606
AUTO0336,-2956584.476,5075878.983,2476667.611
AUTO0337,-2956584.48,5075878.982,2476667.608
AUTO0338,-2956584.482,5075878.986,2476667.611
AUTO0339,-2956584.477,5075878.982,2476667.605
AUTO0340,-2956584.482,5075878.984,2476667.61
AUTO0341,-2956584.479,5075878.987,2476667.609
AUTO0342,-2956584.478,5075878.987,2476667.607
AUTO0343,-2956584.483,5075878.989,2476667.61
AUTO0344,-2956584.483,5075878.984,2476667.612
AUTO0345,-2956584.483,5075878.989,2476667.608
AUTO0346,-2956584.478,5075878.984,2476667.601
AUTO0347,-2956584.482,5075878.988,2476667.612
AUTO0348,-2956584.484,5075878.992,2476667.61
AUTO0349,-2956584.481,5075878.988,2476667.609
AUTO0350,-2956584.484,5075878.993,2476667.608
AUTO0351,-2956584.486,5075878.994,2476667.609
AUTO0352,-2956584.489,5075878.992,2476667.61
AUTO0353,-2956584.483,5075878.989,2476667.608
AUTO0354,-2956584.483,5075878.988,2476667.607
AUTO0355,-2956584.482,5075878.987,2476667.605
AUTO0356,-2956584.482,5075878.984,2476667.607
AUTO0357,-2956584.479,5075878.985,2476667.607
